dates.date,geography.code,geography.name,Births,Deaths,Active,births_percent,deaths_percent
2022-01-01,E06000047,County Durham,1595,1405,13545,0.11775562938353636,0.1037283130306386
2022-01-01,E06000005,Darlington,385,440,3430,0.11224489795918367,0.1282798833819242
2022-01-01,E06000001,Hartlepool,240,285,2270,0.10572687224669604,0.12555066079295155
2022-01-01,E06000002,Middlesbrough,595,570,3785,0.1571994715984148,0.15059445178335534
2022-01-01,E06000057,Northumberland,905,910,9515,0.0951129795060431,0.09563846558066211
2022-01-01,E06000003,Redcar and Cleveland,385,400,3195,0.12050078247261346,0.12519561815336464
2022-01-01,E06000004,Stockton-on-Tees,665,765,5815,0.11435941530524506,0.13155631986242478
2022-01-01,E08000037,Gateshead,580,575,5695,0.10184372256365233,0.1009657594381036
2022-01-01,E08000021,Newcastle upon Tyne,1155,950,8930,0.12933930571108623,0.10638297872340426
2022-01-01,E08000022,North Tyneside,740,650,5660,0.13074204946996468,0.11484098939929328
2022-01-01,E08000023,South Tyneside,400,450,3480,0.11494252873563218,0.12931034482758622
2022-01-01,E08000024,Sunderland,810,695,6135,0.13202933985330073,0.1132844335778321
2022-01-01,E06000008,Blackburn with Darwen,730,765,5875,0.12425531914893617,0.1302127659574468
2022-01-01,E06000009,Blackpool,745,495,4340,0.1716589861751152,0.11405529953917051
2022-01-01,E06000049,Cheshire East,1860,1905,18570,0.10016155088852989,0.10258481421647819
2022-01-01,E06000050,Cheshire West and Chester,1345,1365,12925,0.10406189555125725,0.10560928433268858
2022-01-01,E06000006,Halton,395,450,3730,0.10589812332439678,0.12064343163538874
2022-01-01,E06000007,Warrington,970,1180,9020,0.10753880266075388,0.13082039911308205
2022-01-01,E10000006,Cumbria,1530,1670,17110,0.08942139099941554,0.09760374050263004
2022-01-01,E07000026,Allerdale,240,320,2960,0.08108108108108109,0.10810810810810811
2022-01-01,E07000027,Barrow-in-Furness,175,220,1695,0.10324483775811209,0.12979351032448377
2022-01-01,E07000028,Carlisle,385,350,3610,0.10664819944598337,0.09695290858725762
2022-01-01,E07000029,Copeland,130,235,1580,0.08227848101265822,0.14873417721518986
2022-01-01,E07000030,Eden,185,160,2165,0.08545034642032333,0.07390300230946882
2022-01-01,E07000031,South Lakeland,415,385,5100,0.08137254901960785,0.07549019607843137
2022-01-01,E08000001,Bolton,1355,1675,11220,0.12076648841354724,0.14928698752228164
2022-01-01,E08000002,Bury,970,1180,8410,0.11533888228299644,0.1403091557669441
2022-01-01,E08000003,Manchester,3570,3215,24485,0.14580355319583418,0.13130488053910558
2022-01-01,E08000004,Oldham,1170,825,7750,0.15096774193548387,0.1064516129032258
2022-01-01,E08000005,Rochdale,855,855,7155,0.11949685534591195,0.11949685534591195
2022-01-01,E08000006,Salford,1490,1220,10310,0.14451988360814744,0.11833171677982542
2022-01-01,E08000007,Stockport,1570,1315,12685,0.12376823019314151,0.10366574694521088
2022-01-01,E08000008,Tameside,875,730,6770,0.1292466765140325,0.10782865583456426
2022-01-01,E08000009,Trafford,1325,1495,12135,0.10918829831067162,0.12319736299958797
2022-01-01,E08000010,Wigan,1240,1105,9715,0.1276376737004632,0.11374163664436439
2022-01-01,E10000017,Lancashire,4795,4795,43715,0.10968775020016013,0.10968775020016013
2022-01-01,E07000117,Burnley,340,290,2745,0.12386156648451731,0.10564663023679417
2022-01-01,E07000118,Chorley,420,515,4530,0.09271523178807947,0.11368653421633554
2022-01-01,E07000119,Fylde,330,345,3265,0.10107197549770292,0.10566615620214395
2022-01-01,E07000120,Hyndburn,255,240,2415,0.10559006211180125,0.09937888198757763
2022-01-01,E07000121,Lancaster,505,470,4350,0.11609195402298851,0.10804597701149425
2022-01-01,E07000122,Pendle,415,375,3085,0.13452188006482982,0.12155591572123177
2022-01-01,E07000123,Preston,760,680,5795,0.13114754098360656,0.11734253666954271
2022-01-01,E07000124,Ribble Valley,275,270,2995,0.09181969949916527,0.09015025041736227
2022-01-01,E07000125,Rossendale,250,355,2585,0.09671179883945841,0.13733075435203096
2022-01-01,E07000126,South Ribble,375,455,3930,0.09541984732824428,0.11577608142493638
2022-01-01,E07000127,West Lancashire,495,420,4295,0.11525029103608847,0.09778812572759023
2022-01-01,E07000128,Wyre,375,380,3725,0.10067114093959731,0.10201342281879194
2022-01-01,E08000011,Knowsley,420,410,3540,0.11864406779661017,0.11581920903954802
2022-01-01,E08000012,Liverpool,2400,2210,15700,0.15286624203821655,0.14076433121019108
2022-01-01,E08000014,Sefton,1015,955,8370,0.12126642771804062,0.11409796893667862
2022-01-01,E08000013,St. Helens,555,620,4995,0.1111111111111111,0.12412412412412413
2022-01-01,E08000015,Wirral,1160,1175,9345,0.12413055109684323,0.12573568753344033
2022-01-01,E06000011,East Riding of Yorkshire,1160,1150,12120,0.09570957095709572,0.09488448844884488
2022-01-01,E06000010,Kingston upon Hull City of,990,815,6965,0.14213926776740848,0.11701363962670495
2022-01-01,E06000012,North East Lincolnshire,575,565,4900,0.11734693877551021,0.11530612244897959
2022-01-01,E06000013,North Lincolnshire,635,515,5145,0.12342079689018465,0.1000971817298348
2022-01-01,E06000014,York,725,660,6835,0.10607168983174835,0.09656181419166057
2022-01-01,E10000023,North Yorkshire,2525,2210,25835,0.09773562995935746,0.08554286820205148
2022-01-01,E07000163,Craven,225,205,2585,0.08704061895551257,0.07930367504835589
2022-01-01,E07000164,Hambleton,325,300,3775,0.08609271523178808,0.07947019867549669
2022-01-01,E07000165,Harrogate,875,695,8175,0.10703363914373089,0.08501529051987768
