dataset,dates.freq,variable.name,geography.code,geography.name,industry.code,industry.name,2019-01-01,2022-01-01,growth_2019_2022
RGVA_LAD,a,GVA Constant Prices £m,E06000001,Hartlepool,H (49-53),Transportation and storage,22,33,50
RGVA_LAD,a,GVA Constant Prices £m,E06000004,Stockton-on-Tees,J (58-63),Information and communication,99,211,113.13131313131312
RGVA_LAD,a,GVA Constant Prices £m,E06000002,Middlesbrough,Q (86-88),Human health and social work activities,606,766,26.4026402640264
RGVA_LAD,a,GVA Constant Prices £m,E06000003,Redcar and Cleveland,J (58-63),Information and communication,7,11,57.14285714285714
RGVA_LAD,a,GVA Constant Prices £m,E06000005,Darlington,J (58-63),Information and communication,335,669,99.70149253731343
RGVA_LAD,a,GVA Constant Prices £m,E06000047,County Durham,F (41-43),Construction,635,788,24.094488188976378
RGVA_LAD,a,GVA Constant Prices £m,E06000057,Northumberland,I (55-56),Accommodation and food service activities,206,278,34.95145631067961
RGVA_LAD,a,GVA Constant Prices £m,E08000021,Newcastle upon Tyne,J (58-63),Information and communication,854,1274,49.18032786885246
RGVA_LAD,a,GVA Constant Prices £m,E08000022,North Tyneside,C (10-33),Manufacturing,400,568,42
RGVA_LAD,a,GVA Constant Prices £m,E08000023,South Tyneside,J (58-63),Information and communication,53,70,32.075471698113205
RGVA_LAD,a,GVA Constant Prices £m,E08000037,Gateshead,R (90-93),"Arts, entertainment and recreation",32,40,25
RGVA_LAD,a,GVA Constant Prices £m,E08000024,Sunderland,J (58-63),Information and communication,109,223,104.58715596330275
RGVA_LAD,a,GVA Constant Prices £m,E06000063,Cumberland,J (58-63),Information and communication,75,94,25.333333333333336
RGVA_LAD,a,GVA Constant Prices £m,E06000064,Westmorland and Furness,N (77-82),Administrative and support service activities,123,172,39.83739837398374
RGVA_LAD,a,GVA Constant Prices £m,E08000003,Manchester,J (58-63),Information and communication,1837,2687,46.271094175285796
RGVA_LAD,a,GVA Constant Prices £m,E08000006,Salford,R (90-93),"Arts, entertainment and recreation",59,101,71.1864406779661
RGVA_LAD,a,GVA Constant Prices £m,E08000009,Trafford,M (69-75),"Professional, scientific and technical activities",643,1385,115.39657853810263
RGVA_LAD,a,GVA Constant Prices £m,E08000007,Stockport,M (69-75),"Professional, scientific and technical activities",436,618,41.74311926605505
RGVA_LAD,a,GVA Constant Prices £m,E08000008,Tameside,J (58-63),Information and communication,45,57,26.666666666666668
RGVA_LAD,a,GVA Constant Prices £m,E08000001,Bolton,T (97-98),Activities of households,5,6,20
RGVA_LAD,a,GVA Constant Prices £m,E08000010,Wigan,T (97-98),Activities of households,5,7,40
RGVA_LAD,a,GVA Constant Prices £m,E08000002,Bury,T (97-98),Activities of households,3,4,33.33333333333333
RGVA_LAD,a,GVA Constant Prices £m,E08000004,Oldham,R (90-93),"Arts, entertainment and recreation",19,47,147.36842105263156
RGVA_LAD,a,GVA Constant Prices £m,E08000005,Rochdale,J (58-63),Information and communication,96,182,89.58333333333334
RGVA_LAD,a,GVA Constant Prices £m,E06000008,Blackburn with Darwen,K (64-66),Financial and insurance activities,71,116,63.38028169014085
RGVA_LAD,a,GVA Constant Prices £m,E06000009,Blackpool,I (55-56),Accommodation and food service activities,184,248,34.78260869565217
RGVA_LAD,a,GVA Constant Prices £m,E07000121,Lancaster,J (58-63),Information and communication,74,132,78.37837837837837
RGVA_LAD,a,GVA Constant Prices £m,E07000128,Wyre,I (55-56),Accommodation and food service activities,74,106,43.24324324324324
RGVA_LAD,a,GVA Constant Prices £m,E07000119,Fylde,M (69-75),"Professional, scientific and technical activities",212,352,66.0377358490566
RGVA_LAD,a,GVA Constant Prices £m,E07000123,Preston,C (10-33),Manufacturing,195,258,32.30769230769231
RGVA_LAD,a,GVA Constant Prices £m,E07000124,Ribble Valley,N (77-82),Administrative and support service activities,22,43,95.45454545454545
RGVA_LAD,a,GVA Constant Prices £m,E07000126,South Ribble,C (10-33),Manufacturing,691,1370,98.26338639652677
RGVA_LAD,a,GVA Constant Prices £m,E07000117,Burnley,K (64-66),Financial and insurance activities,87,152,74.71264367816092
RGVA_LAD,a,GVA Constant Prices £m,E07000120,Hyndburn,J (58-63),Information and communication,80,113,41.25
RGVA_LAD,a,GVA Constant Prices £m,E07000122,Pendle,T (97-98),Activities of households,3,4,33.33333333333333
