date,geography_code,geography_name,wants_a_job,unemployed,population,unemployed_percent,wants_a_job_percent,total_who_want_to_work
2004-12-01,E12000001,North East,22000,31100,301100,0.10328794420458319,0.07306542676851545,0.17635337097309864
2004-12-01,E12000002,North West,50200,68300,800500,0.08532167395377889,0.0627108057464085,0.14803247970018737
2004-12-01,E12000003,Yorkshire and The Humber,41800,48400,611000,0.07921440261865793,0.06841243862520459,0.14762684124386252
2005-03-01,E12000001,North East,22200,30900,301900,0.1023517721099702,0.07353428287512422,0.1758860549850944
2005-03-01,E12000002,North West,48900,68800,804300,0.0855402213104563,0.060798209623274896,0.1463384309337312
2005-03-01,E12000003,Yorkshire and The Humber,39400,47400,614600,0.07712333224861699,0.06410673608851285,0.14123006833712984
2005-06-01,E12000001,North East,23000,31500,302600,0.10409781890284203,0.0760079312623926,0.18010575016523464
2005-06-01,E12000002,North West,48200,68100,808100,0.08427174854597204,0.05964608340551912,0.14391783195149116
2005-06-01,E12000003,Yorkshire and The Humber,41300,50300,618200,0.08136525396311874,0.06680685862180524,0.14817211258492397
2005-09-01,E12000001,North East,25100,30200,303200,0.09960422163588391,0.08278364116094987,0.18238786279683378
2005-09-01,E12000002,North West,48200,69000,811600,0.08501724987678659,0.059388861508132086,0.14440611138491868
2005-09-01,E12000003,Yorkshire and The Humber,40100,49800,621700,0.08010294354190124,0.06450056297249478,0.14460350651439602
2005-12-01,E12000001,North East,25500,31000,303900,0.10200723922342876,0.08390918065153011,0.18591641987495885
2005-12-01,E12000002,North West,45200,75100,815400,0.09210203581064508,0.055432916360068675,0.14753495217071377
2005-12-01,E12000003,Yorkshire and The Humber,41000,54900,625200,0.08781190019193857,0.06557901471529111,0.1533909149072297
2006-03-01,E12000001,North East,23200,34900,304700,0.1145388907121759,0.07614046603216278,0.1906793567443387
2006-03-01,E12000002,North West,45900,76200,819000,0.09304029304029304,0.056043956043956046,0.14908424908424908
2006-03-01,E12000003,Yorkshire and The Humber,47000,58000,626400,0.09259259259259259,0.07503192848020435,0.16762452107279693
2006-06-01,E12000001,North East,23600,35100,305500,0.1148936170212766,0.07725040916530278,0.1921440261865794
2006-06-01,E12000002,North West,49200,77900,822700,0.09468822170900693,0.05980308739516227,0.1544913091041692
2006-06-01,E12000003,Yorkshire and The Humber,49400,59900,627500,0.09545816733067729,0.07872509960159363,0.1741832669322709
2006-09-01,E12000001,North East,21700,36500,306300,0.11916421808684297,0.07084557623245184,0.19000979431929482
2006-09-01,E12000002,North West,47900,78600,826500,0.09509981851179673,0.057955232909860856,0.1530550514216576
2006-09-01,E12000003,Yorkshire and The Humber,54000,65500,628900,0.1041501033550644,0.08586420734615996,0.19001431070122435
2006-12-01,E12000001,North East,22700,36100,307000,0.11758957654723128,0.07394136807817589,0.19153094462540718
2006-12-01,E12000002,North West,53800,83100,830200,0.10009636232233197,0.06480366176824862,0.16490002409058058
2006-12-01,E12000003,Yorkshire and The Humber,56500,59000,630100,0.09363593080463418,0.08966830661799714,0.18330423742263133
2007-03-01,E12000001,North East,23800,33900,308200,0.1099935107073329,0.07722258273848151,0.1872160934458144
2007-03-01,E12000002,North West,56800,83300,833500,0.09994001199760048,0.06814637072585483,0.1680863827234553
2007-03-01,E12000003,Yorkshire and The Humber,51800,59800,632000,0.09462025316455697,0.0819620253164557,0.17658227848101266
2007-06-01,E12000001,North East,23700,34200,309400,0.11053652230122818,0.07659987071751778,0.18713639301874596
2007-06-01,E12000002,North West,56800,87400,836600,0.10447047573511833,0.06789385608415013,0.17236433181926847
2007-06-01,E12000003,Yorkshire and The Humber,46900,59800,634000,0.0943217665615142,0.07397476340694006,0.16829652996845426
2007-09-01,E12000001,North East,24000,31400,310500,0.10112721417069243,0.07729468599033816,0.1784219001610306
2007-09-01,E12000002,North West,61700,87300,839900,0.10394094535063698,0.07346112632456245,0.17740207167519942
2007-09-01,E12000003,Yorkshire and The Humber,44000,55800,636100,0.08772205628045905,0.06917151391290678,0.15689357019336583
2007-12-01,E12000001,North East,25300,31600,311600,0.10141206675224647,0.08119383825417202,0.1826059050064185
2007-12-01,E12000002,North West,61100,80600,843200,0.09558823529411764,0.07246204933586338,0.16805028462998103
2007-12-01,E12000003,Yorkshire and The Humber,44900,60300,638000,0.0945141065830721,0.07037617554858934,0.16489028213166143
2008-03-01,E12000001,North East,28300,33700,312200,0.1079436258808456,0.09064702114029469,0.1985906470211403
2008-03-01,E12000002,North West,64700,81900,844700,0.09695749970403694,0.07659524091393394,0.17355274061797088
2008-03-01,E12000003,Yorkshire and The Humber,45600,56600,639700,0.08847897451930592,0.07128341410035954,0.15976238861966546
2008-06-01,E12000001,North East,28900,34100,312800,0.1090153452685422,0.09239130434782608,0.20140664961636828
2008-06-01,E12000002,North West,67800,79900,846100,0.09443328211795296,0.08013237206004019,0.17456565417799313
2008-06-01,E12000003,Yorkshire and The Humber,47200,64300,641300,0.10026508654295961,0.07360049898643381,0.1738655855293934
2008-09-01,E12000001,North East,29900,35900,313300,0.11458665815512288,0.0954356846473029,0.2100223428024258
2008-09-01,E12000002,North West,67900,82300,847400,0.09712060420108568,0.08012744866650932,0.17724805286759499
