date,geography_code,geography_name,wants_a_job,unemployed,population,unemployed_percent,wants_a_job_percent,total_who_want_to_work
2008-09-01,E12000003,Yorkshire and The Humber,48000,69900,642800,0.10874299937772246,0.07467330429371499,0.18341630367143746
2008-12-01,E12000001,North East,29100,38700,314000,0.1232484076433121,0.09267515923566878,0.2159235668789809
2008-12-01,E12000002,North West,70900,84500,849000,0.09952885747938751,0.08351001177856301,0.18303886925795054
2008-12-01,E12000003,Yorkshire and The Humber,50700,69700,644500,0.10814584949573312,0.0786656322730799,0.18681148176881304
2009-03-01,E12000001,North East,26600,41700,314100,0.13276026743075453,0.08468640560331105,0.2174466730340656
2009-03-01,E12000002,North West,70600,91800,848700,0.10816542948038176,0.08318604925179686,0.19135147873217861
2009-03-01,E12000003,Yorkshire and The Humber,55300,77700,644600,0.12053986968662736,0.08578963698417623,0.2063295066708036
2009-06-01,E12000001,North East,28800,43700,314200,0.1390833863781031,0.0916613621896881,0.2307447485677912
2009-06-01,E12000002,North West,71400,103500,848100,0.12203749557835161,0.08418818535550053,0.20622568093385213
2009-06-01,E12000003,Yorkshire and The Humber,57600,77900,644700,0.12083139444702963,0.0893438808748255,0.21017527532185512
2009-09-01,E12000001,North East,28600,44700,314400,0.14217557251908397,0.09096692111959287,0.23314249363867684
2009-09-01,E12000002,North West,72900,111700,847700,0.13176831426212104,0.08599740474224372,0.21776571900436476
2009-09-01,E12000003,Yorkshire and The Humber,60100,77300,644800,0.11988213399503722,0.09320719602977667,0.2130893300248139
2009-12-01,E12000001,North East,30600,45900,314500,0.14594594594594595,0.0972972972972973,0.24324324324324326
2009-12-01,E12000002,North West,76700,115500,847200,0.1363314447592068,0.090533522190746,0.22686496694995278
2009-12-01,E12000003,Yorkshire and The Humber,63400,80800,645000,0.12527131782945736,0.09829457364341085,0.2235658914728682
2010-03-01,E12000001,North East,34700,45900,315000,0.1457142857142857,0.11015873015873016,0.25587301587301586
2010-03-01,E12000002,North West,82000,118500,847000,0.1399055489964581,0.09681227863046045,0.23671782762691854
2010-03-01,E12000003,Yorkshire and The Humber,64400,84400,645800,0.13069061628987302,0.09972127593682255,0.23041189222669556
2010-06-01,E12000001,North East,33000,45600,315400,0.14457831325301204,0.1046290424857324,0.24920735573874445
2010-06-01,E12000002,North West,83000,113600,846800,0.1341521020311762,0.09801606046291922,0.23216816249409541
2010-06-01,E12000003,Yorkshire and The Humber,65700,82200,646600,0.12712650788741106,0.10160841323847819,0.22873492112588928
2010-09-01,E12000001,North East,31500,44700,315900,0.14150047483380818,0.09971509971509972,0.24121557454890788
2010-09-01,E12000002,North West,80500,116800,846700,0.13794732490846817,0.09507499704736035,0.2330223219558285
2010-09-01,E12000003,Yorkshire and The Humber,70200,76500,647500,0.11814671814671815,0.10841698841698842,0.22656370656370656
2010-12-01,E12000001,North East,30200,43100,316300,0.13626304141637685,0.09547897565602276,0.2317420170723996
2010-12-01,E12000002,North West,76500,113700,846400,0.1343336483931947,0.090382797731569,0.2247164461247637
2010-12-01,E12000003,Yorkshire and The Humber,66600,79300,648300,0.12231991362023754,0.10273021749190189,0.22505013111213945
2011-03-01,E12000001,North East,28000,46700,316300,0.1476446411634524,0.08852355358836547,0.23616819475181788
2011-03-01,E12000002,North West,77700,108200,846500,0.12782043709391613,0.09178972238629651,0.21961015948021265
2011-03-01,E12000003,Yorkshire and The Humber,64400,77600,649200,0.11953173136167591,0.09919901417128774,0.21873074553296365
2011-06-01,E12000001,North East,28800,46300,316300,0.14638001896933292,0.09105279797660448,0.2374328169459374
2011-06-01,E12000002,North West,76400,111600,846700,0.13180583441596788,0.09023266800519665,0.22203850242116452
2011-06-01,E12000003,Yorkshire and The Humber,60600,81800,650000,0.12584615384615386,0.09323076923076923,0.21907692307692309
2011-09-01,E12000001,North East,29300,45600,316300,0.14416693012962378,0.09263357571925387,0.23680050584887766
2011-09-01,E12000002,North West,77500,111100,846900,0.13118431928208762,0.09151021372062818,0.2226945330027158
2011-09-01,E12000003,Yorkshire and The Humber,57000,97900,650700,0.1504533579222376,0.0875979714153988,0.2380513293376364
2011-12-01,E12000001,North East,28600,47200,316300,0.1492254189061018,0.09042048687954474,0.23964590578564654
2011-12-01,E12000002,North West,76200,119600,847100,0.1411875811592492,0.08995396057136111,0.23114154173061033
2011-12-01,E12000003,Yorkshire and The Humber,56300,101100,651700,0.1551327297836428,0.0863894429952432,0.241522172778886
2012-03-01,E12000001,North East,29000,47500,316200,0.15022137887413028,0.09171410499683745,0.24193548387096775
2012-03-01,E12000002,North West,72300,126800,846400,0.1498109640831758,0.08542060491493383,0.23523156899810965
2012-03-01,E12000003,Yorkshire and The Humber,60400,102600,652700,0.1571931974873602,0.09253868546039529,0.24973188294775547
2012-06-01,E12000001,North East,28600,52100,316100,0.16482125909522302,0.09047769693135084,0.2552989560265739
2012-06-01,E12000002,North West,73500,128400,845800,0.1518089382832821,0.08689997635374794,0.23870891463703003
2012-06-01,E12000003,Yorkshire and The Humber,60800,103400,653900,0.158128154152011,0.09298057807004129,0.2511087322220523
2012-09-01,E12000001,North East,28600,52200,316100,0.1651376146788991,0.09047769693135084,0.2556153116102499
2012-09-01,E12000002,North West,75500,120700,845100,0.14282333451662524,0.08933853981777304,0.2321618743343983
2012-09-01,E12000003,Yorkshire and The Humber,64900,101400,655200,0.15476190476190477,0.09905372405372405,0.2538156288156288
2012-12-01,E12000001,North East,29900,51100,316000,0.16170886075949367,0.09462025316455697,0.2563291139240506
2012-12-01,E12000002,North West,77700,116000,844500,0.1373593842510361,0.09200710479573712,0.22936648904677323
2012-12-01,E12000003,Yorkshire and The Humber,67400,102400,656300,0.15602620752704555,0.1026969373761999,0.2587231449032455
2013-03-01,E12000001,North East,30000,48200,315800,0.1526282457251425,0.09499683343888538,0.24762507916402787
2013-03-01,E12000002,North West,76900,110800,842400,0.1315289648622982,0.09128679962013295,0.22281576448243115
2013-03-01,E12000003,Yorkshire and The Humber,65400,100900,655200,0.153998778998779,0.09981684981684982,0.2538156288156288
2013-06-01,E12000001,North East,28800,47300,315800,0.14977834072197593,0.09119696010132995,0.2409753008233059
2013-06-01,E12000002,North West,72500,104000,840300,0.12376532190884208,0.08627870998452933,0.21004403189337142
2013-06-01,E12000003,Yorkshire and The Humber,66100,99800,654200,0.15255273616631,0.1010394374808927,0.2535921736472027
2013-09-01,E12000001,North East,27600,51200,315700,0.16217928413050364,0.08742477035159962,0.24960405448210327
2013-09-01,E12000002,North West,74000,107800,838200,0.12860892388451445,0.08828441899308041,0.21689334287759485
2013-09-01,E12000003,Yorkshire and The Humber,63400,96500,653100,0.14775685193691623,0.09707548614301026,0.2448323380799265
2013-12-01,E12000001,North East,25800,50500,315600,0.1600126742712294,0.0817490494296578,0.2417617237008872
2013-12-01,E12000002,North West,73400,107900,836000,0.12906698564593302,0.08779904306220096,0.21686602870813398
2013-12-01,E12000003,Yorkshire and The Humber,59400,93800,652000,0.14386503067484663,0.09110429447852761,0.23496932515337424
2014-03-01,E12000001,North East,24900,47300,315300,0.15001585791309863,0.07897240723120837,0.228988265144307
2014-03-01,E12000002,North West,75900,107700,833900,0.1291521765199664,0.091018107686773,0.22017028420673943
2014-03-01,E12000003,Yorkshire and The Humber,61600,90600,651100,0.1391491322377515,0.09460912302257718,0.23375825526032867
2014-06-01,E12000001,North East,25100,44400,315100,0.14090764836559821,0.07965725166613774,0.22056490003173596
2014-06-01,E12000002,North West,81600,108100,831800,0.12995912478961288,0.09810050492906949,0.22805962971868238
2014-06-01,E12000003,Yorkshire and The Humber,66500,85700,650300,0.13178532984776256,0.10226049515608181,0.23404582500384438
2014-09-01,E12000001,North East,26900,41300,314700,0.13123609787098825,0.08547823323800445,0.21671433110899269
2014-09-01,E12000002,North West,82400,94600,829800,0.11400337430706194,0.09930103639431188,0.21330441070137382
2014-09-01,E12000003,Yorkshire and The Humber,64100,83300,649400,0.12827225130890052,0.09870649830612874,0.22697874961502926
2014-12-01,E12000001,North East,28700,41200,314500,0.13100158982511922,0.09125596184419714,0.22225755166931638
2014-12-01,E12000002,North West,80600,94500,827700,0.11417180137731062,0.09737827715355805,0.21155007853086868
2014-12-01,E12000003,Yorkshire and The Humber,62500,78700,648500,0.12135697764070932,0.09637625289128758,0.21773323053199692
2015-03-01,E12000001,North East,27700,40600,313700,0.12942301562001912,0.08830092445011158,0.2177239400701307
2015-03-01,E12000002,North West,75700,84200,826100,0.10192470645200338,0.09163539523060162,0.193560101682605
2015-03-01,E12000003,Yorkshire and The Humber,55400,79600,647900,0.12285846581262541,0.08550702268868653,0.20836548850131192
2015-06-01,E12000001,North East,28200,39900,313000,0.12747603833865814,0.0900958466453674,0.21757188498402555
2015-06-01,E12000002,North West,71300,78600,824400,0.09534206695778748,0.08648714216399805,0.18182920912178555
2015-06-01,E12000003,Yorkshire and The Humber,50700,74800,647400,0.11553907939450109,0.0783132530120482,0.19385233240654928
2015-09-01,E12000001,North East,27000,38400,312200,0.12299807815502883,0.08648302370275464,0.20948110185778346
2015-09-01,E12000002,North West,68900,80800,822700,0.09821320043758357,0.0837486325513553,0.18196183298893887
2015-09-01,E12000003,Yorkshire and The Humber,53100,65500,647200,0.10120519159456119,0.08204573547589616,0.18325092707045734
2015-12-01,E12000001,North East,25800,36300,311500,0.11653290529695023,0.08282504012841091,0.19935794542536114
2015-12-01,E12000002,North West,66100,69400,821100,0.0845207648276702,0.0805017659237608,0.165022530751431
2015-12-01,E12000003,Yorkshire and The Humber,57500,61400,646700,0.09494355961032937,0.0889129426318231,0.18385650224215247
2016-03-01,E12000001,North East,26200,36000,310100,0.11609158336020639,0.08448887455659465,0.20058045791680104
2016-03-01,E12000002,North West,66300,68400,818400,0.08357771260997067,0.08101173020527859,0.16458944281524926
2016-03-01,E12000003,Yorkshire and The Humber,65900,61000,644800,0.0946029776674938,0.10220223325062035,0.19680521091811415
2016-06-01,E12000001,North East,23100,37000,308800,0.11981865284974093,0.07480569948186529,0.19462435233160622
2016-06-01,E12000002,North West,67100,66800,815700,0.08189285276449675,0.0822606350373912,0.16415348780188796
2016-06-01,E12000003,Yorkshire and The Humber,61400,59700,643100,0.09283159695226248,0.09547504276162339,0.18830663971388586
2016-09-01,E12000001,North East,26000,30300,307400,0.09856864020819779,0.08458035133376708,0.18314899154196487
2016-09-01,E12000002,North West,65500,63100,812800,0.07763287401574803,0.08058562992125984,0.15821850393700787
2016-09-01,E12000003,Yorkshire and The Humber,59000,58800,640700,0.09177462150772593,0.09208678008428281,0.18386140159200873
2016-12-01,E12000001,North East,25900,31100,306100,0.10160078405749755,0.08461287161058477,0.18621365566808232
2016-12-01,E12000002,North West,70800,63100,810100,0.07789161831872608,0.08739661770151833,0.16528823602024442
2016-12-01,E12000003,Yorkshire and The Humber,63400,52300,638800,0.08187226048841578,0.09924859110832812,0.1811208515967439
2017-03-01,E12000001,North East,28600,32600,304100,0.10720157842814863,0.09404801052285433,0.20124958895100295
2017-03-01,E12000002,North West,72900,64600,806500,0.0800991940483571,0.09039057656540607,0.17048977061376316
2017-03-01,E12000003,Yorkshire and The Humber,60400,49400,636000,0.07767295597484276,0.0949685534591195,0.17264150943396225
2017-06-01,E12000001,North East,28600,28900,302300,0.09560039695666557,0.09460800529275554,0.1902084022494211
2017-06-01,E12000002,North West,70200,64600,802700,0.08047838544910926,0.08745483991528591,0.16793322536439517
2017-06-01,E12000003,Yorkshire and The Humber,64500,47400,633000,0.07488151658767772,0.1018957345971564,0.17677725118483412
2017-09-01,E12000001,North East,27600,28700,300500,0.09550748752079867,0.09184692179700499,0.18735440931780367
2017-09-01,E12000002,North West,69300,66100,799100,0.08271805781504192,0.08672256288324365,0.16944062069828558
2017-09-01,E12000003,Yorkshire and The Humber,63800,45400,630000,0.07206349206349207,0.10126984126984127,0.17333333333333334
2017-12-01,E12000001,North East,27000,27000,298600,0.09042196918955124,0.09042196918955124,0.18084393837910248
2017-12-01,E12000002,North West,62500,63100,795400,0.07933115413628362,0.07857681669600201,0.15790797083228564
2017-12-01,E12000003,Yorkshire and The Humber,53900,49800,627100,0.07941317174294371,0.08595120395471216,0.16536437569765589
2018-03-01,E12000001,North East,22800,22800,297600,0.07661290322580645,0.07661290322580645,0.1532258064516129
2018-03-01,E12000002,North West,58200,63800,791500,0.08060644346178143,0.0735312697409981,0.15413771320277952
2018-03-01,E12000003,Yorkshire and The Humber,56700,43900,625100,0.07022876339785634,0.09070548712206047,0.1609342505199168
2018-06-01,E12000001,North East,22100,21200,296400,0.07152496626180836,0.07456140350877193,0.1460863697705803
2018-06-01,E12000002,North West,56300,56200,787600,0.07135601828339258,0.07148298628745556,0.14283900457084814
2018-06-01,E12000003,Yorkshire and The Humber,54700,43100,623100,0.06917027764403788,0.08778687209115711,0.156957149735195
2018-09-01,E12000001,North East,20500,21300,295400,0.07210561949898443,0.06939742721733243,0.14150304671631686
2018-09-01,E12000002,North West,54800,53600,783600,0.06840224604389995,0.06993363961204696,0.1383358856559469
2018-09-01,E12000003,Yorkshire and The Humber,56700,41200,621100,0.06633392368378684,0.09128964739977459,0.15762357108356143
2018-12-01,E12000001,North East,19900,23200,294300,0.07883112470268433,0.06761807679238872,0.14644920149507307
2018-12-01,E12000002,North West,53500,54500,779600,0.06990764494612622,0.06862493586454592,0.13853258081067213
2018-12-01,E12000003,Yorkshire and The Humber,53100,39400,619100,0.06364076885801971,0.0857696656436763,0.149410434501696
2019-03-01,E12000001,North East,21800,24500,293100,0.08358921869669055,0.07437734561583077,0.15796656431252132
2019-03-01,E12000002,North West,54300,52200,776700,0.06720741599073002,0.06991116261104674,0.13711857860177676
2019-03-01,E12000003,Yorkshire and The Humber,49200,39300,617700,0.06362311801845556,0.0796503156872268,0.14327343370568238
2019-06-01,E12000001,North East,23100,23900,292100,0.08182129407737077,0.07908250599109894,0.16090380006846972
2019-06-01,E12000002,North West,54800,59700,773900,0.0771417495800491,0.07081018219408192,0.14795193177413102
2019-06-01,E12000003,Yorkshire and The Humber,48500,41900,615800,0.06804157193894121,0.07875933744722312,0.14680090938616433
2019-09-01,E12000001,North East,25100,27800,291000,0.09553264604810996,0.08625429553264605,0.181786941580756
2019-09-01,E12000002,North West,49100,57600,771000,0.07470817120622568,0.06368352788586251,0.1383916990920882
2019-09-01,E12000003,Yorkshire and The Humber,45700,41500,614100,0.06757857026542909,0.07441784725614721,0.1419964175215763
2019-12-01,E12000001,North East,26000,29600,289900,0.10210417385305277,0.08968609865470852,0.1917902725077613
2019-12-01,E12000002,North West,51400,59200,768100,0.0770732977476891,0.06691837000390574,0.14399166775159483
2019-12-01,E12000003,Yorkshire and The Humber,45500,44400,612300,0.07251347378735913,0.07430997876857749,0.14682345255593662
2020-03-01,E12000001,North East,24400,31800,289200,0.10995850622406639,0.08437067773167359,0.19432918395573998
2020-03-01,E12000002,North West,50100,58200,766300,0.0759493670886076,0.06537909434947149,0.1413284614380791
2020-03-01,E12000003,Yorkshire and The Humber,43300,44600,611400,0.07294733398756952,0.0708210664049722,0.1437684003925417
2020-06-01,E12000001,North East,24600,33900,288300,0.11758584807492195,0.08532778355879292,0.20291363163371487
2020-06-01,E12000002,North West,49100,54600,764200,0.07144726511384454,0.06425019628369537,0.1356974613975399
2020-06-01,E12000003,Yorkshire and The Humber,46100,37300,610400,0.06110747051114024,0.07552424639580603,0.13663171690694625
2020-09-01,E12000001,North East,25600,34000,287500,0.11826086956521739,0.08904347826086957,0.20730434782608695
2020-09-01,E12000002,North West,57500,55200,762200,0.0724219364996064,0.07543951718709001,0.1478614536866964
2020-09-01,E12000003,Yorkshire and The Humber,45000,37400,609600,0.061351706036745404,0.07381889763779527,0.13517060367454067
2020-12-01,E12000001,North East,26300,32300,286600,0.11270062805303559,0.09176552686671319,0.2044661549197488
2020-12-01,E12000002,North West,59200,56600,759900,0.0744834846690354,0.07790498749835505,0.15238847216739046
2020-12-01,E12000003,Yorkshire and The Humber,48800,36900,608500,0.060640920295809364,0.08019720624486443,0.1408381265406738
2021-03-01,E12000001,North East,30900,29500,285700,0.10325516275813791,0.10815540777038853,0.21141057052852644
2021-03-01,E12000002,North West,60400,56200,758100,0.07413270017148134,0.07967286637646749,0.15380556654794883
2021-03-01,E12000003,Yorkshire and The Humber,51200,36600,607400,0.06025683240039513,0.0842937108989134,0.14455054329930853
2021-06-01,E12000001,North East,30800,29800,284900,0.1045981045981046,0.10810810810810811,0.2127062127062127
2021-06-01,E12000002,North West,58500,54800,756400,0.07244843997884717,0.07734003172924378,0.14978847170809095
2021-06-01,E12000003,Yorkshire and The Humber,46300,44500,606400,0.07338390501319261,0.07635224274406333,0.14973614775725594
2021-09-01,E12000001,North East,32000,26600,284200,0.09359605911330049,0.11259676284306826,0.20619282195636876
2021-09-01,E12000002,North West,52500,51100,754800,0.06770005299417065,0.06955484896661367,0.13725490196078433
2021-09-01,E12000003,Yorkshire and The Humber,43500,45200,605400,0.07466138090518665,0.07185332011892963,0.1465147010241163
2021-12-01,E12000001,North East,33500,24600,283300,0.08683374514648783,0.11824920578891635,0.20508295093540416
2021-12-01,E12000002,North West,47700,49000,753100,0.06506440047802417,0.06333820209799496,0.12840260257601913
2021-12-01,E12000003,Yorkshire and The Humber,38900,43000,604400,0.07114493712772998,0.064361350099272,0.13550628722700198
2022-03-01,E12000001,North East,30200,25000,283600,0.08815232722143865,0.10648801128349789,0.19464033850493653
2022-03-01,E12000002,North West,46100,49800,753800,0.06606526930220218,0.061156805518705226,0.12722207482090742
2022-03-01,E12000003,Yorkshire and The Humber,33500,44000,604900,0.07273929575136386,0.055381054719788395,0.12812035047115225
2022-06-01,E12000001,North East,29100,23000,283800,0.08104298801973221,0.10253699788583509,0.1835799859055673
2022-06-01,E12000002,North West,47400,51900,754500,0.06878727634194831,0.06282306163021868,0.131610337972167
2022-06-01,E12000003,Yorkshire and The Humber,36400,38300,605400,0.06326395771390816,0.06012553683515032,0.12338949454905847
2022-09-01,E12000001,North East,25500,24800,284100,0.08729320661738825,0.0897571277719113,0.17705033438929954
2022-09-01,E12000002,North West,46400,54200,755100,0.07177857237451993,0.06144881472652629,0.13322738710104623
2022-09-01,E12000003,Yorkshire and The Humber,36400,36000,606000,0.0594059405940594,0.06006600660066007,0.11947194719471947
2022-12-01,E12000001,North East,25400,23800,284300,0.08371438621174815,0.08934224410833626,0.17305663032008442
2022-12-01,E12000002,North West,46800,57300,755700,0.0758237395791981,0.061929337038507344,0.13775307661770544
2022-12-01,E12000003,Yorkshire and The Humber,37000,35300,606400,0.05821240105540897,0.061015831134564644,0.11922823218997361
2023-03-01,E12000001,North East,26200,20500,284600,0.07203092059030218,0.09205903021784961,0.16408995080815178
2023-03-01,E12000002,North West,47800,47700,756700,0.06303687062243954,0.06316902339104004,0.1262058940134796
2023-03-01,E12000003,Yorkshire and The Humber,36500,31800,607200,0.05237154150197629,0.060111989459815544,0.11248353096179182
2023-06-01,E12000001,North East,28700,22000,285200,0.07713884992987377,0.10063113604488079,0.17776998597475455
2023-06-01,E12000002,North West,40200,44900,757200,0.059297411516111995,0.05309033280507131,0.11238774432118331
2023-06-01,E12000003,Yorkshire and The Humber,41400,32800,607700,0.05397400032910976,0.06812571992759585,0.12209972025670561
2023-09-01,E12000001,North East,26000,19700,285100,0.06909856190810242,0.09119607155384075,0.16029463346194317
2023-09-01,E12000002,North West,42400,46200,757800,0.06096595407759303,0.05595143837424123,0.11691739245183426
2023-09-01,E12000003,Yorkshire and The Humber,43700,30100,608100,0.04949843775694787,0.07186318039796086,0.12136161815490873
2023-12-01,E12000001,North East,24400,22600,285400,0.07918710581639804,0.08549404344779257,0.1646811492641906
2023-12-01,E12000002,North West,48900,45000,759100,0.05928072717692004,0.06441839019891978,0.12369911737583981
2023-12-01,E12000003,Yorkshire and The Humber,38500,24300,608800,0.03991458607095926,0.06323915900131406,0.10315374507227333
