RTIC,Count,Location quotient
Business Support Services,14287,3.51
Life Sciences,5079,0.84
Net Zero,5017,1.0
Advanced Manufacturing,4799,2.98
Agency Market,4018,6.11
Legal Services,3734,2.13
Digital Creative Industries,2529,5.43
Research and Consulting - Physical Sciences and Engineering,2435,0.76
Media and Publishing,2363,3.41
Electronics Manufacturing,2228,1.59
