LAD23NM,Count,Location quotient,LAD23CD
Leeds,32134,2.6,E08000035
North Yorkshire,27908,8.72,E06000065
Manchester,21265,3.19,E08000003
Sheffield,20239,4.48,E08000019
Cheshire East,19545,6.71,E06000049
East Riding of Yorkshire,15599,9.2,E06000011
Kirklees,15084,11.28,E08000034
Cheshire West and Chester,14573,7.08,E06000050
Liverpool,14311,4.61,E08000012
Bradford,14305,2.39,E08000032
Stockport,13941,5.9,E08000007
County Durham,13289,10.64,E06000047
Westmorland and Furness,12578,15.74,E06000064
Bolton,12267,6.64,E08000001
Trafford,12010,3.31,E08000009
Cumberland,11185,12.52,E06000063
Warrington,9987,2.63,E06000007
Newcastle upon Tyne,9952,3.55,E08000021
Salford,9539,3.49,E08000006
Wakefield,9492,4.93,E08000036
Northumberland,9287,13.4,E06000057
Wigan,9202,9.71,E08000010
Wirral,9135,3.83,E08000015
Calderdale,8967,9.24,E08000033
"Kingston upon Hull, City of",8900,7.61,E06000010
Doncaster,8596,7.14,E08000017
Bury,8351,5.82,E08000002
Sefton,8267,9.26,E08000014
York,8207,4.79,E06000014
Gateshead,7973,8.52,E08000037
Tameside,7248,10.17,E08000008
Preston,7236,8.72,E07000123
Rotherham,6929,7.0,E08000018
Oldham,6862,8.69,E08000004
Barnsley,6817,9.41,E08000016
North East Lincolnshire,6662,11.53,E06000012
Stockton-on-Tees,6488,8.96,E06000004
Rochdale,6238,9.16,E08000005
Blackburn with Darwen,6040,2.32,E06000008
Chorley,5725,10.16,E07000118
Lancaster,5520,13.38,E07000121
Sunderland,5403,4.48,E08000024
North Lincolnshire,5375,7.7,E06000013
West Lancashire,5334,11.51,E07000127
North Tyneside,4897,3.23,E08000022
South Ribble,4695,9.05,E07000126
St. Helens,4464,6.14,E08000013
Fylde,4457,7.96,E07000119
Wyre,4395,16.26,E07000128
Halton,4057,4.31,E06000006
South Tyneside,3764,11.18,E08000023
Ribble Valley,3580,17.34,E07000124
Knowsley,3483,6.83,E08000011
Burnley,3379,8.12,E07000117
Blackpool,3148,9.23,E06000009
Middlesbrough,3107,7.53,E06000002
Darlington,3012,2.9,E06000005
Pendle,2890,7.62,E07000122
Hyndburn,2796,7.97,E07000120
Redcar and Cleveland,2728,13.08,E06000003
Rossendale,2477,11.08,E07000125
Hartlepool,1975,13.35,E06000001
