RTIC,Count,Location quotient
Business Support Services,1310,1.17
Life Sciences,588,0.9
Advanced Manufacturing,581,1.56
Digital Creative Industries,559,1.29
Agency Market,518,1.16
Net Zero,515,0.76
Media and Publishing,433,1.43
Research and Consulting - Physical Sciences and Engineering,401,1.08
Legal Services,382,1.19
Data Infrastructure,334,1.07
