last_updated,Create Date,Do you feel the True North report identified the key challenges and opportunities facing the region? ,Are you interested in attending future True North events? ,Are you currently a B Corp or in the process of becoming a B Corp?,Would you be interested in hearing more from Brabners about the B Corp process?,Company name,City,Industry,sector,location,Which theme of the True North report do you most identify with and could support activity around?,How would you like to be involved with the True North network?,company_size
2024-03-20 14:12:00,2024-03-20 14:12:00,Yes,Yes,No,No,University of Leeds,Leeds,Higher Education,Education,West Yorkshire,Purpose and societal impact,Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,"1,000+"
2024-03-14 15:33:00,2023-05-02 17:45:00,Yes,Yes,No,Yes,Vistage UK,,,Learning and Development,,"People, skills and the future",,
2024-03-13 09:00:00,2023-10-19 12:21:00,Yes,Yes,Yes,Yes,Agent Marketing Ltd,Liverpool,Graphic Design,Creative / digital / consultancy,,"People, skills and the future",,
2024-03-12 17:49:00,2022-12-22 16:23:00,Yes,Yes,No,Yes,SFS Group,Au,Computer Software,Manufacturing,,Other,,
2024-03-12 13:27:00,2024-03-12 13:27:00,No,Yes,No,No,Stone UK,Garstang,Mining & Metals,Construction; Manufacturing and Engineering,Lancashire,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,10-49
2024-03-12 11:57:00,2024-03-12 11:57:00,Yes,Yes,No,No,Giles Metcalfe Digital,Leek,,Business admin and support; Information Technology; Marketing and Communications; Professional Services; Other - please specify,Lancashire,"People, skills and the future; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.,0-9
2024-03-12 10:48:00,2024-03-12 10:48:00,Yes,Yes,No,No,National Federation of Self Employed & Small Businesses Limited,Blackpool,Defense & Space,Accommodation and Hospitality; Manufacturing and Engineering; Real Estate; Retail; Technology and Software Development,Cumbria; Lancashire,Sustainable development; Purpose and societal impact,Keeping informed about the latest True North network activities and upcoming events,10-49
2024-03-12 08:31:00,2024-03-12 08:31:00,Yes,Yes,No,Yes,Chris Shakespeare Coaching,,"Health, Wellness and Fitness",Education; Professional Services; Other - please specify,Cheshire,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events,0-9
2024-03-11 19:42:00,2024-03-11 19:42:00,Yes,Yes,Yes,No,B-Engineering Group,,Construction,Construction,Cheshire,"People, skills and the future",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,50-99
2024-03-11 11:09:00,2024-03-11 11:09:00,Yes,Yes,No,No,marsdenstrategy.co.uk,,,Public Affairs Consultancy,Greater Manchester,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Being spotlighted by Brabners in future True North digital content as a case study,0-9
2024-03-07 10:56:00,2024-03-07 10:56:00,Yes,Yes,Yes,No,Women's Organisation,Liverpool,Consumer Goods,Business admin and support; Education; Health and Social Care,Greater Manchester; Merseyside; International/Outside of the UK,"People, skills and the future; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,50-99
2024-03-07 07:09:00,2024-03-07 07:09:00,Yes,Yes,No,No,Sustainable Ventures,,,Business admin and support,Greater Manchester,Innovation and change; Purpose and societal impact,Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,0-9
2024-02-28 14:00:00,2023-07-19 17:28:00,Yes,Yes,No,No,Paceline,Leeds,,Technology,,"People, skills and the future",,
2024-02-21 17:12:00,2024-02-21 17:12:00,Yes,Yes,No,No,Hawthorne & Burman,Liverpool,Professional Training & Coaching,Professional Services,Merseyside,Sustainable development; Purpose and societal impact,Keeping informed about the latest True North network activities and upcoming events,0-9
2024-02-09 15:47:00,2023-06-08 21:16:00,Yes,Yes,No,Yes,,,,"Construction, House Building, Water, Civil Engineering, Property Development",,Sustainable development,,
2024-02-06 17:01:00,2024-02-06 17:01:00,Yes,Yes,No,No,Nuwaay,San Mateo,Computer Software,Technology and Software Development,West Yorkshire; South Yorkshire ,"People, skills and the future; Innovation and change; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events,0-9
2024-02-05 13:11:00,2023-07-19 11:51:00,Yes,Yes,No,No,TP Financial Solutions,Heysham,Investment Management,Finance,,"People, skills and the future",,
2024-02-01 18:35:00,2024-02-01 18:35:00,Yes,Yes,No,Yes,Go-International,,,"Construction; Health and Social Care; Information Technology; Manufacturing and Engineering; Mining; Pharmaceuticals, Biotechnology, and Life Sciences; Transport and Storage",West Yorkshire,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,0-9
2024-02-01 11:30:00,2023-10-04 10:31:00,Yes,Yes,No,Yes,TheBusinessDesk.com,Leeds,Computer Software,Media,,Innovation and change,,
