last_updated,Create Date,Do you feel the True North report identified the key challenges and opportunities facing the region? ,Are you interested in attending future True North events? ,Are you currently a B Corp or in the process of becoming a B Corp?,Would you be interested in hearing more from Brabners about the B Corp process?,Company name,City,Industry,sector,location,Which theme of the True North report do you most identify with and could support activity around?,How would you like to be involved with the True North network?,company_size
2023-10-04 10:23:00,2023-10-04 10:23:00,Yes,Yes,No,Yes,Mr Yorkshire,Badsworth,Management Consulting,Promotions and Marketing Children's books,West Yorkshire,"People, skills and the future; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.,0-9
2023-10-04 10:23:00,2023-10-04 10:23:00,No,Yes,No,No,heeton.co.uk,London,,Hospitality,,Other,,
2023-10-04 10:19:00,2023-10-04 10:19:00,Yes,Yes,No,No,The Right Fuelcard Company,Hunslet,Oil & Energy,Fuelcards,,Other,,
2023-10-01 14:38:00,2023-10-01 14:38:00,Yes,Yes,No,No,Carbon Happy World,Shrewsbury,Professional Training & Coaching,Decarbonisation. Sustainability and Green Climate Texh,,Sustainable development,,
2023-09-29 11:41:00,2023-09-29 11:41:00,Yes,Yes,No,Yes,Barton Legal Limited,Rawdon,Legal Services,"Legal (construction and engineering, and commercial property)",,"People, skills and the future",,
2023-09-29 11:21:00,2023-09-29 11:21:00,Yes,Yes,No,No,,,,We are HR consultants and work with clients across a range of sectors,,"People, skills and the future",,
2023-09-29 11:19:00,2023-09-29 11:19:00,Yes,Yes,No,No,RUTHERFORD HR CONSULTING,Knutsford,Human Resources,Board-level Executive Search & Selection; Top-team Dynamics & Management Consulting,,"People, skills and the future",,
2023-09-29 09:13:00,2023-09-29 09:13:00,Yes,Yes,No,Yes,Thomas Kneale & Co.,Salford,Textiles,"Imports, Wholesale",,Sustainable development,,
2023-09-27 20:24:00,2023-09-27 20:24:00,Yes,Yes,No,No,Lockton,Kansas City,Insurance,Insurance Broking,,"People, skills and the future",,
2023-09-26 15:24:00,2023-09-26 15:24:00,Yes,Yes,No,Yes,iMS Systems,Greater Manchester,Computer Software,Multi sector,,Sustainable development,,
2023-09-26 06:10:00,2023-09-26 06:10:00,Yes,Yes,Yes,Yes,Fort Search,Manchester,Human Resources,Technology recruitment,,Purpose and societal impact,,
2023-09-21 22:15:00,2023-09-21 22:15:00,Yes,Yes,No,No,Business of Science,,Professional Training & Coaching,"Science, Innovation and Skills/Talent",Cheshire,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,0-9
2023-09-21 11:12:00,2023-09-21 11:12:00,Yes,Yes,No,No,SSE plc,Lowestoft,Utilities,Energy Solutions,,Sustainable development,,
2023-09-21 10:21:00,2023-09-21 10:21:00,Yes,Yes,No,No,,,,Pro European pressure group,,"People, skills and the future",,
2023-09-20 15:14:00,2023-09-20 15:14:00,Yes,Yes,No,No,University of Salford,Salford,Higher Education,"Talent, Skills, Innovation,  Digital Transformation",,"People, skills and the future",,
2023-09-19 15:01:00,2023-09-19 15:01:00,Yes,Yes,No,Yes,Elevategm,Manchester,,Business development and training,,Sustainable development,,
2023-09-18 23:59:00,2023-09-18 23:59:00,Yes,Yes,No,Yes,Agile Automations,London,Computer Software,Intelligent Automations,,Innovation and change,,
2023-09-15 12:07:00,2023-09-15 12:07:00,Yes,Yes,No,Yes,mcwattjones,,Public Relations and Communications,"Maritime, land development, tourism, heritage",,"People, skills and the future",,
2023-09-15 11:12:00,2023-09-15 11:12:00,Yes,Yes,No,Yes,Blackpool Council,Blackpool,Government Administration,Property development -regeneration - data /digital innovation - energy and low carbon,,Innovation and change,,
2023-09-15 09:57:00,2023-09-15 09:57:00,Yes,Yes,No,No,SSE plc,Lowestoft,Utilities,"Energy, Heat, decarbonisation, utilities",,Sustainable development,,
2023-09-15 09:56:00,2023-09-15 09:56:00,Yes,Yes,No,No,Morgan Sindall,London,Construction,Construction,,"People, skills and the future",,
2023-09-15 09:53:00,2023-09-15 09:53:00,Yes,Yes,No,Yes,Walker Sime Ltd,Trafford Park,Construction,Construction,,Innovation and change,,
2023-09-15 09:02:00,2023-09-15 09:02:00,Yes,Yes,No,Yes,Access Creative College,Manchester,Education Management,Education skills and training,,"People, skills and the future",,
2023-09-14 20:00:00,2023-09-14 20:00:00,Yes,Yes,No,Yes,Bicical,Belmont,,Active Travel,,Sustainable development,,
2023-09-14 18:20:00,2023-09-14 18:20:00,Yes,Yes,No,Yes,Vista Insurance Brokers,Manchester,Insurance,Insurance broker,,"People, skills and the future",,
2023-09-13 12:46:00,2023-08-16 14:49:00,Yes,Yes,No,No,RoC Consulting,Manchester,Civil Engineering,"Construction, Design, Engineering",,Sustainable development,,
2023-09-11 16:26:00,2023-07-19 17:28:00,Yes,Yes,No,No,Ice,City of Westminster,Civil Engineering,Engineering and construction,,Sustainable development,,
2023-09-06 10:00:00,2023-07-19 17:28:00,Yes,Yes,No,No,University of Liverpool,Liverpool,Higher Education,"Higher Education, Research",,Innovation and change,,
2023-09-06 09:23:00,2023-09-06 09:23:00,Yes,Yes,No,Yes,Jisc,Bristol,Libraries,"Digital, Technology, Further Education & Skills and Higher Education",,Sustainable development,,
2023-08-21 09:46:00,2023-06-14 09:50:00,Yes,Yes,No,No,Advanced Manufacturing Research Centre,Catcliffe,Aviation & Aerospace,"Manufacturing, sustainability, research",,Innovation and change,,
2023-08-18 15:01:00,2023-08-18 15:06:00,Yes,Yes,No,Yes,AHR,,Architecture & Planning,Construction,,Sustainable development,,
2023-08-10 14:38:00,2023-08-10 14:38:00,Yes,Yes,No,Yes,emmasheldon.co.uk,,,"Health, digital, innovation",,Innovation and change,,
2023-08-09 12:22:00,2023-08-09 12:22:00,No,Yes,No,No,Prince’s Trust,London,Individual & Family Services,Third Sector,,"People, skills and the future",,
2023-08-08 11:54:00,2023-08-08 11:54:00,Yes,Yes,Yes,Yes,Roland Dransfield PR,Manchester,Public Relations and Communications,Diverse,,Purpose and societal impact,,
2023-08-08 10:00:00,2023-08-02 08:50:00,Yes,Yes,No,Yes,Group Rhodes,Wakefield,Mechanical or Industrial Engineering,Advanced Engineering,,Innovation and change,,
2023-08-07 13:37:00,2023-08-07 13:37:00,Yes,No,No,No,DES Group UK,Poulton Le Fylde,Construction,Manufacturing and Engineering,Lancashire,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,10-49
2023-07-28 16:37:00,2022-03-28 00:29:00,Yes,Yes,Yes,Yes,MHA Moore & Smalley LLP,Lancashire,Accounting,"Accountancy, audit and business advisory",,"People, skills and the future",,
2023-07-27 16:46:00,2023-07-27 13:47:00,Yes,Yes,No,No,,,,education,,"People, skills and the future",,
2023-07-26 10:38:00,2023-07-26 10:38:00,Yes,Yes,No,No,University of Leeds,Leeds,Higher Education,Education,,"People, skills and the future",,
2023-07-05 08:00:00,2023-06-12 12:24:00,Yes,Yes,No,Yes,Blackpool Council,Blackpool,Government Administration,Local Government,,Sustainable development,,
2023-06-06 10:30:00,2023-03-08 11:26:00,Yes,Yes,No,No,PelliTec,Wirral,Consumer Goods,Healthcare,,Innovation and change,,
2023-06-02 15:00:00,2022-10-18 10:23:00,Yes,Yes,No,Yes,Worn By Us,Liverpool,Apparel & Fashion,Retail,,Sustainable development,,
2023-05-09 16:15:00,2023-03-27 17:34:00,Yes,Yes,No,No,Mott Mac,Croydon,Civil Engineering,Manufacturing and Engineering; Professional Services; Real Estate; Technology and Software Development; Transport and Storage,Cumbria; North Yorkshire; West Yorkshire; Greater Manchester; Merseyside; South Yorkshire ; Scotland; Wales; Northern Ireland; International/Outside of the UK,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.; Being spotlighted by Brabners in future True North digital content as a case study,"1,000+"
2023-05-04 17:12:00,2023-05-04 17:12:00,Yes,Yes,No,No,NFU Mutual,Stratford-upon-Avon,Insurance,Financial Services,Lancashire,"People, skills and the future",Keeping informed about the latest True North network activities and upcoming events,10-49
2022-12-19 13:30:00,2022-03-28 00:29:00,Yes,Yes,No,Yes,Business Doctors,Saint Helens,Management Consulting,SME Business Support,,"People, skills and the future",,
2022-12-02 09:28:00,2022-12-06 09:28:00,Yes,Yes,Yes,Yes,Plumbs,Preston,Textiles,Manufacturing,,"People, skills and the future",,
2022-10-07 21:15:00,2022-10-07 21:15:00,Yes,Yes,No,No,Terence Anderson Chartered Building Surveyors,Farnworth,Real Estate,Education; Real Estate; Other - please specify,Greater Manchester,Sustainable development,Keeping informed about the latest True North network activities and upcoming events,0-9
2022-08-17 13:31:00,2022-08-17 13:31:00,Yes,Yes,No,Yes,Oakmount Property,Salisbury,Real Estate,property/real estate,,"People, skills and the future",,
2022-03-28 00:29:00,2022-03-28 00:29:00,No,Yes,Yes,No,Sherrington Associates Ltd,Chester,Human Resources,Executive Search,,"People, skills and the future",,
2022-03-28 00:29:00,2022-03-28 00:29:00,Yes,Yes,Yes,Yes,Cortus Advisory Group Limited,Fulwood,,Financial Services,,"People, skills and the future",,
2022-03-28 00:29:00,2022-03-28 00:29:00,Yes,Yes,No,Yes,RSK Group Limited,Helsby,Professional Training & Coaching,Construction; Manufacturing and Engineering; Professional Services; Other - please specify,Lancashire; West Yorkshire; Greater Manchester; Merseyside; Cheshire; Scotland; Wales; Northern Ireland; International/Outside of the UK,Innovation and change; Sustainable development,Keeping informed about the latest True North network activities and upcoming events,"1,000+"
2022-03-28 00:29:00,2022-03-28 00:29:00,Yes,Yes,Yes,Yes,Big Hand 4 Business,,,Accountancy,,Innovation and change,,
2022-03-28 00:29:00,2022-03-28 00:29:00,Yes,Yes,No,Yes,Lagan's Foundation HQ,Manchester,Hospital & Health Care,"Charity, healthcare, education",,Sustainable development,,
2022-03-28 00:29:00,2022-03-28 00:29:00,Yes,Yes,Yes,Yes,2030hub,Liverpool,Professional Training & Coaching,Sustainability,,Sustainable development,,
2022-03-28 00:29:00,2022-03-28 00:29:00,Yes,Yes,No,No,Playdale Playgrounds Ltd,Cumbria,Sporting Goods,Manufacturing,,Innovation and change,,
