date,Accommodation & Food Services Activities.,Administrative & Support Service Activities.,"Arts, Entertainment & Recreation.",Construction,Education.,"Electricity, Gas, Steam & Air Con Supply",Financial & Insurance Activities.,Human Health & Social Work.,Information & Communication.,Manufacturing,Mining & Quarrying,Other Service Activities.,"Professional, Scientific & Technical Activities.",Public Administration & Defence.,Real Estate Activities.,Transport & Storage,"Water Supply, Sewarage, Waste Management etc.","Wholesale & Retail, Repair of motor vehicles."
2015-01-01,78.0,53.0,16.0,27.0,50.0,4.0,38.0,106.0,35.0,50.0,1.0,19.0,64.0,11.0,9.0,31.0,2.0,128.0
2015-02-01,78.0,52.0,17.0,27.0,50.0,4.0,39.0,108.0,36.0,48.0,1.0,19.0,64.0,11.0,10.0,33.0,2.0,131.0
2015-03-01,80.0,51.0,17.0,26.0,52.0,4.0,38.0,110.0,35.0,47.0,1.0,18.0,62.0,12.0,11.0,33.0,2.0,130.0
2015-04-01,80.0,51.0,16.0,25.0,51.0,4.0,36.0,111.0,37.0,47.0,1.0,17.0,66.0,11.0,10.0,33.0,3.0,129.0
2015-05-01,80.0,52.0,16.0,26.0,52.0,4.0,34.0,113.0,36.0,50.0,1.0,16.0,68.0,11.0,11.0,32.0,3.0,128.0
2015-06-01,79.0,52.0,16.0,27.0,51.0,4.0,35.0,117.0,37.0,51.0,1.0,15.0,70.0,11.0,12.0,31.0,3.0,130.0
2015-07-01,82.0,51.0,16.0,25.0,51.0,4.0,35.0,119.0,37.0,51.0,1.0,15.0,70.0,12.0,14.0,29.0,3.0,129.0
2015-08-01,84.0,53.0,14.0,24.0,49.0,4.0,35.0,119.0,38.0,51.0,1.0,15.0,71.0,13.0,15.0,30.0,3.0,125.0
2015-09-01,85.0,53.0,14.0,23.0,49.0,4.0,32.0,118.0,40.0,49.0,1.0,18.0,69.0,13.0,14.0,31.0,3.0,124.0
2015-10-01,85.0,53.0,14.0,23.0,49.0,4.0,30.0,119.0,40.0,48.0,1.0,19.0,67.0,13.0,14.0,31.0,4.0,128.0
2015-11-01,83.0,51.0,16.0,22.0,49.0,4.0,30.0,121.0,41.0,48.0,1.0,22.0,65.0,12.0,12.0,30.0,4.0,134.0
2015-12-01,82.0,51.0,17.0,21.0,52.0,4.0,31.0,124.0,39.0,49.0,1.0,20.0,63.0,11.0,11.0,30.0,4.0,137.0
2016-01-01,80.0,50.0,18.0,21.0,51.0,4.0,31.0,127.0,41.0,47.0,1.0,20.0,64.0,11.0,9.0,30.0,3.0,139.0
2016-02-01,83.0,48.0,18.0,21.0,50.0,4.0,30.0,124.0,42.0,46.0,1.0,21.0,65.0,11.0,9.0,30.0,3.0,139.0
2016-03-01,85.0,48.0,18.0,22.0,50.0,4.0,30.0,120.0,42.0,45.0,1.0,21.0,67.0,10.0,8.0,31.0,3.0,140.0
2016-04-01,87.0,48.0,17.0,23.0,49.0,4.0,29.0,119.0,42.0,46.0,1.0,22.0,67.0,11.0,10.0,33.0,3.0,139.0
2016-05-01,81.0,49.0,16.0,22.0,49.0,4.0,31.0,118.0,45.0,46.0,1.0,22.0,67.0,13.0,10.0,36.0,3.0,138.0
2016-06-01,79.0,50.0,18.0,21.0,46.0,4.0,30.0,119.0,46.0,49.0,1.0,20.0,65.0,14.0,11.0,34.0,4.0,139.0
2016-07-01,77.0,52.0,22.0,21.0,47.0,4.0,29.0,119.0,45.0,49.0,1.0,22.0,65.0,14.0,11.0,34.0,4.0,137.0
2016-08-01,77.0,53.0,24.0,21.0,49.0,5.0,31.0,121.0,40.0,51.0,1.0,24.0,63.0,13.0,10.0,32.0,4.0,136.0
2016-09-01,79.0,55.0,22.0,25.0,50.0,4.0,31.0,121.0,39.0,52.0,1.0,26.0,64.0,13.0,9.0,31.0,3.0,137.0
2016-10-01,82.0,56.0,20.0,27.0,48.0,4.0,31.0,119.0,38.0,53.0,1.0,24.0,65.0,13.0,8.0,30.0,3.0,135.0
2016-11-01,84.0,55.0,18.0,29.0,48.0,4.0,31.0,119.0,38.0,53.0,1.0,22.0,66.0,13.0,8.0,30.0,3.0,136.0
2016-12-01,88.0,52.0,17.0,28.0,48.0,4.0,31.0,119.0,39.0,52.0,1.0,20.0,64.0,13.0,9.0,29.0,4.0,135.0
2017-01-01,92.0,50.0,17.0,29.0,50.0,4.0,32.0,122.0,39.0,52.0,1.0,20.0,64.0,15.0,11.0,29.0,4.0,136.0
2017-02-01,93.0,56.0,15.0,28.0,52.0,4.0,33.0,120.0,39.0,50.0,1.0,19.0,65.0,16.0,13.0,29.0,5.0,134.0
2017-03-01,91.0,57.0,17.0,27.0,53.0,4.0,34.0,124.0,41.0,55.0,1.0,20.0,67.0,16.0,13.0,31.0,4.0,136.0
2017-04-01,91.0,56.0,17.0,27.0,51.0,4.0,36.0,124.0,42.0,53.0,1.0,19.0,67.0,16.0,11.0,30.0,4.0,137.0
2017-05-01,91.0,54.0,18.0,27.0,48.0,4.0,36.0,123.0,41.0,53.0,1.0,19.0,69.0,16.0,11.0,30.0,3.0,139.0
2017-06-01,94.0,55.0,16.0,28.0,48.0,4.0,37.0,120.0,42.0,51.0,1.0,20.0,68.0,16.0,11.0,32.0,3.0,140.0
2017-07-01,92.0,53.0,14.0,30.0,50.0,4.0,37.0,119.0,44.0,51.0,1.0,20.0,69.0,17.0,10.0,34.0,3.0,144.0
2017-08-01,91.0,51.0,17.0,30.0,52.0,4.0,40.0,122.0,43.0,51.0,1.0,21.0,68.0,17.0,10.0,33.0,3.0,145.0
2017-09-01,89.0,49.0,18.0,31.0,54.0,4.0,40.0,125.0,42.0,54.0,1.0,21.0,71.0,17.0,9.0,33.0,4.0,146.0
2017-10-01,92.0,52.0,21.0,28.0,53.0,4.0,40.0,127.0,40.0,57.0,1.0,21.0,74.0,17.0,10.0,35.0,4.0,143.0
2017-11-01,94.0,54.0,20.0,26.0,50.0,4.0,39.0,129.0,43.0,59.0,1.0,21.0,78.0,17.0,9.0,36.0,4.0,137.0
2017-12-01,95.0,54.0,21.0,24.0,50.0,4.0,39.0,131.0,43.0,57.0,1.0,22.0,76.0,18.0,9.0,41.0,4.0,132.0
2018-01-01,94.0,54.0,21.0,22.0,49.0,4.0,39.0,130.0,44.0,58.0,1.0,23.0,72.0,18.0,9.0,43.0,4.0,131.0
2018-02-01,90.0,55.0,21.0,22.0,47.0,4.0,40.0,129.0,44.0,57.0,1.0,23.0,73.0,18.0,11.0,43.0,4.0,132.0
2018-03-01,88.0,55.0,22.0,23.0,46.0,3.0,39.0,127.0,45.0,60.0,1.0,22.0,76.0,20.0,10.0,42.0,4.0,130.0
2018-04-01,87.0,55.0,23.0,23.0,48.0,3.0,39.0,130.0,46.0,59.0,1.0,25.0,76.0,21.0,11.0,39.0,4.0,129.0
2018-05-01,91.0,56.0,23.0,26.0,47.0,4.0,38.0,133.0,48.0,60.0,1.0,27.0,75.0,21.0,10.0,40.0,4.0,127.0
2018-06-01,93.0,57.0,21.0,27.0,49.0,4.0,39.0,134.0,48.0,60.0,1.0,27.0,73.0,21.0,11.0,41.0,4.0,131.0
2018-07-01,92.0,55.0,18.0,29.0,50.0,4.0,39.0,134.0,47.0,61.0,1.0,27.0,76.0,21.0,11.0,40.0,4.0,134.0
2018-08-01,91.0,55.0,17.0,26.0,51.0,3.0,38.0,132.0,48.0,62.0,1.0,25.0,78.0,22.0,12.0,41.0,4.0,138.0
2018-09-01,93.0,56.0,19.0,27.0,52.0,3.0,38.0,133.0,48.0,63.0,1.0,25.0,83.0,24.0,11.0,40.0,4.0,140.0
