SICHLU,Count,Location quotient,sic_name
G,27095339092.6667,1.52,Wholesale and retail trade; repair of motor vehicles and motorcycles
F,14299559012.75,3.61,Construction
C,13781298996.3333,1.53,Manufacturing
N,10407223540.4167,1.21,Administrative and support service activities
M,9722411483.99999,0.37,"Professional, scientific and technical activities"
I,7420004093.33333,5.54,Accommodation and food service activities
Q,5658450559.25,3.95,Human health and social work activities
K,5182082388.33333,0.21,Financial and insurance activities
J,4815650961.33333,0.89,Information and communication
L,3531477107.0,2.66,Real estate activities
