SICHLU,Count,Location quotient,sic_name
M,64969,1.14,"Professional, scientific and technical activities"
G,54196,0.92,Wholesale and retail trade; repair of motor vehicles and motorcycles
F,52777,1.26,Construction
N,42222,1.1,Administrative and support service activities
L,32359,0.79,Real estate activities
J,31498,0.9,Information and communication
Q,24857,1.32,Human health and social work activities
I,24445,1.14,Accommodation and food service activities
S,22663,1.04,Other service activities
C,20770,1.16,Manufacturing
