LAD23NM,Count,Location quotient,LAD23CD
North Yorkshire,6097,7.62015,E06000065
Leeds,5836,4.67753,E08000035
Cheshire East,4523,6.85326,E06000049
Manchester,3925,2.86048,E08000003
Sheffield,3848,5.6137,E08000019
Stockport,3604,7.00503,E08000007
East Riding of Yorkshire,3146,8.33874,E06000011
Kirklees,3120,5.47271,E08000034
Cheshire West and Chester,3038,6.9414,E06000050
Bradford,2905,4.34611,E08000032
Warrington,2853,6.27919,E06000007
Liverpool,2773,3.59883,E08000012
Trafford,2697,5.10817,E08000009
Westmorland and Furness,2431,10.05403,E06000064
County Durham,2366,6.02685,E06000047
Bolton,2301,4.49012,E08000001
Cumberland,2077,8.66844,E06000063
Wirral,2054,6.04176,E08000015
Bury,1972,4.57543,E08000002
Northumberland,1943,7.26082,E06000057
Salford,1872,4.03701,E08000006
Wakefield,1817,5.45966,E08000036
Calderdale,1805,6.3893,E08000033
Sefton,1791,5.87045,E08000014
Doncaster,1783,4.96232,E08000017
Wigan,1749,5.67908,E08000010
Newcastle upon Tyne,1642,4.34264,E08000021
York,1620,6.41993,E06000014
Preston,1496,5.64245,E07000123
Oldham,1485,4.4091,E08000004
Tameside,1383,5.76052,E08000008
"Kingston upon Hull, City of",1347,5.63298,E06000010
Rotherham,1334,5.34555,E08000018
Barnsley,1284,6.00065,E08000016
North East Lincolnshire,1224,6.57428,E06000012
Gateshead,1215,5.55423,E08000037
Rochdale,1172,4.42873,E08000005
Chorley,1134,6.50523,E07000118
Stockton-on-Tees,1134,4.86573,E06000004
Fylde,1083,6.46273,E07000119
Blackburn with Darwen,1073,4.8382,E06000008
North Lincolnshire,1063,6.85978,E06000013
Lancaster,1012,7.53494,E07000121
North Tyneside,993,5.16892,E08000022
West Lancashire,981,6.79196,E07000127
Wyre,946,7.98788,E07000128
Sunderland,896,4.58844,E08000024
South Ribble,818,6.61691,E07000126
St. Helens,773,5.29498,E08000013
Ribble Valley,761,8.30175,E07000124
Blackpool,671,4.503,E06000009
Burnley,627,6.05643,E07000117
Halton,625,5.41757,E06000006
Darlington,608,4.83416,E06000005
Pendle,596,5.51125,E07000122
South Tyneside,532,4.82271,E08000023
Rossendale,523,6.10281,E07000125
Middlesbrough,505,3.27951,E06000002
Knowsley,488,3.76682,E08000011
Hyndburn,453,5.34055,E07000120
Redcar and Cleveland,411,4.50413,E06000003
Hartlepool,377,5.34175,E06000001
