geography.code,Births,Deaths,Active,Births (%),Deaths (%)
E06000047,1595,1405,13545,11.8,10.4
E06000005,385,440,3430,11.2,12.8
E06000001,240,285,2270,10.6,12.6
E06000002,595,570,3785,15.7,15.1
E06000057,905,910,9515,9.5,9.6
E06000003,385,400,3195,12.1,12.5
E06000004,665,765,5815,11.4,13.2
E08000037,580,575,5695,10.2,10.1
E08000021,1155,950,8930,12.9,10.6
E08000022,740,650,5660,13.1,11.5
E08000023,400,450,3480,11.5,12.9
E08000024,810,695,6135,13.2,11.3
E06000008,730,765,5875,12.4,13.0
E06000009,745,495,4340,17.2,11.4
E06000049,1860,1905,18570,10.0,10.3
E06000050,1345,1365,12925,10.4,10.6
E06000006,395,450,3730,10.6,12.1
E06000007,970,1180,9020,10.8,13.1
E10000006,1530,1670,17110,8.9,9.8
E07000026,240,320,2960,8.1,10.8
E07000027,175,220,1695,10.3,13.0
E07000028,385,350,3610,10.7,9.7
E07000029,130,235,1580,8.2,14.9
E07000030,185,160,2165,8.5,7.4
E07000031,415,385,5100,8.1,7.5
E08000001,1355,1675,11220,12.1,14.9
E08000002,970,1180,8410,11.5,14.0
E08000003,3570,3215,24485,14.6,13.1
E08000004,1170,825,7750,15.1,10.6
E08000005,855,855,7155,11.9,11.9
E08000006,1490,1220,10310,14.5,11.8
E08000007,1570,1315,12685,12.4,10.4
E08000008,875,730,6770,12.9,10.8
E08000009,1325,1495,12135,10.9,12.3
E08000010,1240,1105,9715,12.8,11.4
E10000017,4795,4795,43715,11.0,11.0
E07000117,340,290,2745,12.4,10.6
E07000118,420,515,4530,9.3,11.4
E07000119,330,345,3265,10.1,10.6
E07000120,255,240,2415,10.6,9.9
E07000121,505,470,4350,11.6,10.8
E07000122,415,375,3085,13.5,12.2
E07000123,760,680,5795,13.1,11.7
E07000124,275,270,2995,9.2,9.0
E07000125,250,355,2585,9.7,13.7
E07000126,375,455,3930,9.5,11.6
E07000127,495,420,4295,11.5,9.8
E07000128,375,380,3725,10.1,10.2
E08000011,420,410,3540,11.9,11.6
E08000012,2400,2210,15700,15.3,14.1
E08000014,1015,955,8370,12.1,11.4
E08000013,555,620,4995,11.1,12.4
E08000015,1160,1175,9345,12.4,12.6
E06000011,1160,1150,12120,9.6,9.5
E06000010,990,815,6965,14.2,11.7
E06000012,575,565,4900,11.7,11.5
E06000013,635,515,5145,12.3,10.0
E06000014,725,660,6835,10.6,9.7
E10000023,2525,2210,25835,9.8,8.6
E07000163,225,205,2585,8.7,7.9
E07000164,325,300,3775,8.6,7.9
E07000165,875,695,8175,10.7,8.5
E07000166,170,170,1930,8.8,8.8
E07000167,210,185,2370,8.9,7.8
E07000168,315,315,3580,8.8,8.8
E07000169,405,340,3420,11.8,9.9
E08000016,835,765,6730,12.4,11.4
E08000017,1675,1290,10165,16.5,12.7
E08000018,1030,810,7725,13.3,10.5
E08000019,2135,1710,17485,12.2,9.8
E08000032,2350,1960,17350,13.5,11.3
E08000033,1165,865,8650,13.5,10.0
E08000034,1950,1670,15600,12.5,10.7
E08000035,3745,3885,30590,12.2,12.7
E08000036,1200,1075,9960,12.0,10.8
