name,value,footnote,post
"Total members",182,,
"Membership change",5.81,"Since last month","%"
"Companies with 1-10 employees",31,"Share of member companies with 1-10 employees","%"
"Top sector",17,"Finance and Insurance","%"
"Top regions","West Yorkshire and Greater Manchester",,
"B-Corps",12.6,"Currently B-corp or joining","%"
"True North purpose",96,"Agree that the True North report identified the key challenges and opportunities facing the region","%"
