geography_code,date,geography_name,wants_a_job,unemployed,population,unemployed_percent,wants_a_job_percent,total_who_want_to_work
E12000001,2024-06-01,North East,21300,23200,286000,8.1,7.4,15.6
E12000002,2024-06-01,North West,51300,65100,760100,8.6,6.7,15.3
E12000003,2024-06-01,Yorkshire and The Humber,39200,22100,610000,3.6,6.4,10.0
