date,E12000001,E12000002,E12000003,unix_timestamp,decimal_date
2004-12-01,68.1,70.6,72.2,1101859200,2004.92
2005-03-01,68.4,70.6,72.2,1109635200,2005.16
2005-06-01,68.7,70.8,72.3,1117580400,2005.41
2005-09-01,68.8,70.8,72.5,1125529200,2005.67
2005-12-01,69,70.6,72.3,1133395200,2005.92
2006-03-01,68.7,70.6,71.9,1141171200,2006.16
2006-06-01,68.9,70.5,72,1149116400,2006.41
2006-09-01,68.8,70.6,71.6,1157065200,2006.67
2006-12-01,68.9,70.6,71.9,1164931200,2006.91
2007-03-01,69.3,70.5,71.8,1172707200,2007.16
2007-06-01,69.5,70.6,71.4,1180652400,2007.41
2007-09-01,69.6,70.2,71.5,1188601200,2007.66
2007-12-01,69.6,70.5,71.3,1196467200,2007.91
2008-03-01,69.3,70.3,71.7,1204329600,2008.16
2008-06-01,68.8,70.1,71.3,1212274800,2008.41
2008-09-01,68.9,70.1,71.5,1220223600,2008.67
2008-12-01,68.6,69.4,71,1228089600,2008.92
2009-03-01,68.2,69.2,70.5,1235865600,2009.16
2009-06-01,67.6,68.9,70.2,1243810800,2009.41
2009-09-01,67,68.4,69.4,1251759600,2009.67
2009-12-01,66.3,68.1,68.9,1259625600,2009.92
2010-03-01,65.8,67.8,68.5,1267401600,2010.16
2010-06-01,66.2,68.2,68.9,1275346800,2010.41
2010-09-01,66.6,68.5,68.4,1283295600,2010.67
2010-12-01,66.2,68.8,68.5,1291161600,2010.91
2011-03-01,65.9,68.6,68.4,1298937600,2011.16
2011-06-01,65.8,68.4,67.8,1306882800,2011.41
2011-09-01,64.9,68.2,67.7,1314831600,2011.66
2011-12-01,64.9,68.3,67.6,1322697600,2011.91
2012-03-01,65.1,68.2,67.5,1330560000,2012.16
2012-06-01,65.2,68.5,67.8,1338505200,2012.41
2012-09-01,65.7,68.5,68.5,1346454000,2012.67
2012-12-01,66,68.8,68.9,1354320000,2012.92
2013-03-01,66.3,69.1,69.6,1362096000,2013.16
2013-06-01,66.4,69.1,69.6,1370041200,2013.41
2013-09-01,66.1,69.2,69.5,1377990000,2013.67
2013-12-01,66.3,68.9,69.7,1385856000,2013.92
2014-03-01,67.1,68.9,69.9,1393632000,2014.16
2014-06-01,67.6,68.7,70,1401577200,2014.41
2014-09-01,68,69,70.2,1409526000,2014.67
2014-12-01,68.4,69.3,70.6,1417392000,2014.91
2015-03-01,68.6,69.8,71,1425168000,2015.16
2015-06-01,68.8,70.1,71.7,1433113200,2015.41
2015-09-01,69,70.6,72.4,1441062000,2015.66
2015-12-01,69.3,71.2,72.5,1448928000,2015.91
2016-03-01,69.5,71.4,72.2,1456790400,2016.16
2016-06-01,69.4,71.6,72.2,1464735600,2016.41
2016-09-01,69.9,71.6,72.4,1472684400,2016.67
2016-12-01,70.5,71.5,72.5,1480550400,2016.92
2017-03-01,69.9,71.7,72.8,1488326400,2017.16
2017-06-01,70.2,72.3,73,1496271600,2017.41
2017-09-01,70.4,72.6,73,1504220400,2017.67
2017-12-01,70.6,73,73.4,1512086400,2017.92
2018-03-01,71.1,73.4,73.5,1519862400,2018.16
2018-06-01,70.6,73.4,73.5,1527807600,2018.41
2018-09-01,70.8,73.7,73.4,1535756400,2018.67
2018-12-01,71.1,73.8,73.6,1543622400,2018.91
2019-03-01,71.1,73.8,73.7,1551398400,2019.16
2019-06-01,71.4,73.9,73.8,1559343600,2019.41
2019-09-01,71.2,74.3,73.8,1567292400,2019.66
2019-12-01,70.5,74.5,73.7,1575158400,2019.91
2020-03-01,71.1,74.9,74,1583020800,2020.16
2020-06-01,71.3,74.8,74.1,1590966000,2020.41
2020-09-01,71.3,74.1,74.5,1598914800,2020.67
2020-12-01,71.4,74,74.2,1606780800,2020.92
2021-03-01,71.2,73.2,73.8,1614556800,2021.16
2021-06-01,70.6,73.2,73.5,1622502000,2021.41
2021-09-01,70.5,73.3,73.2,1630450800,2021.67
2021-12-01,70.2,72.9,73.8,1638316800,2021.92
2022-03-01,70,73.1,74.3,1646092800,2022.16
2022-06-01,70.6,73.3,74.7,1654038000,2022.41
2022-09-01,71.2,73,74.5,1661986800,2022.67
2022-12-01,70.5,73.5,74.6,1669852800,2022.91
2023-03-01,70.8,73.6,74.4,1677628800,2023.16
2023-06-01,71.2,73.8,74.2,1685574000,2023.41
2023-09-01,71.6,74.4,74.7,1693522800,2023.66
2023-12-01,72.8,73.8,74.2,1701388800,2023.91
