name,value,footnote,post,pre
"Total companies considered",1688,,
"Estimated total employees",14065,"From 1213 companies",
"Estimated total turnover",716037778,,,£
"Estimated growth per year",6.5,,%
"Total investment funding",8270000,"From 16 companies",,£
