name,value,footnote,post,pre
"Total companies considered",7562,"In the North",
"Estimated total employees",17585,"From 2633 companies",
"Estimated total turnover",661535135,,,£
"Estimated growth per year",15.4,,%
"Total investment funding",2580000,"From 11 companies",,£
