name,value,footnote,post,pre
"Total companies considered",32415,"In the UK",
"Estimated total employees",67050,"From 10763 companies",
"Estimated total turnover",2711176628,,,£
"Estimated growth per year",16.1,,%
"Total investment funding",37790000,"From 87 companies",,£
