LAD23NM,Count,Location quotient,LAD23CD
Liverpool,981,9.84,E08000012
Leeds,917,2.31,E08000035
Manchester,850,3.96,E08000003
North Yorkshire,729,7.09,E06000065
County Durham,719,17.91,E06000047
Bradford,633,3.29,E08000032
Wigan,579,19.01,E08000010
Wirral,570,7.43,E08000015
Oldham,527,20.77,E08000004
Sheffield,459,3.16,E08000019
Cheshire East,420,4.48,E06000049
Newcastle upon Tyne,414,4.6,E08000021
North East Lincolnshire,410,22.08,E06000012
Salford,383,4.36,E08000006
Blackburn with Darwen,363,4.35,E06000008
Trafford,362,3.11,E08000009
Sunderland,338,8.72,E08000024
South Tyneside,329,30.42,E08000023
Warrington,308,2.53,E06000007
Stockport,302,3.98,E08000007
Gateshead,295,9.81,E08000037
Lancaster,290,21.88,E07000121
North Tyneside,284,5.82,E08000022
"Kingston upon Hull, City of",279,7.43,E06000010
Doncaster,278,7.19,E08000017
Hartlepool,272,57.21,E06000001
Cheshire West and Chester,265,4.0,E06000050
Middlesbrough,263,19.85,E06000002
Kirklees,253,5.89,E08000034
Westmorland and Furness,242,9.43,E06000064
Rochdale,240,10.96,E08000005
York,229,4.16,E06000014
Wakefield,225,3.64,E08000036
Sefton,219,7.63,E08000014
Stockton-on-Tees,210,9.03,E06000004
West Lancashire,204,13.7,E07000127
Bolton,192,3.24,E08000001
Northumberland,186,8.35,E06000057
Cumberland,183,6.37,E06000063
Barnsley,183,7.86,E08000016
Burnley,177,13.24,E07000117
Calderdale,167,5.36,E08000033
North Lincolnshire,167,7.45,E06000013
Knowsley,142,8.67,E08000011
Redcar and Cleveland,131,19.55,E06000003
Blackpool,130,11.87,E06000009
Ribble Valley,130,19.6,E07000124
St. Helens,121,5.18,E08000013
Hyndburn,121,10.74,E07000120
Bury,117,2.54,E08000002
East Riding of Yorkshire,109,2.0,E06000011
Halton,106,3.51,E06000006
Rotherham,104,3.27,E08000018
Preston,103,3.86,E07000123
Chorley,77,4.25,E07000118
Tameside,65,2.84,E08000008
South Ribble,60,3.6,E07000126
Rossendale,55,7.66,E07000125
Darlington,38,1.14,E06000005
Fylde,30,1.67,E07000119
Wyre,27,3.11,E07000128
Pendle,23,1.89,E07000122
