,date,variable.name,variable.unit,variable.code,value
152490,2001-05-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,2.0
152491,2001-05-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,75.0
152492,2001-05-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
152493,2001-05-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,3.0
152494,2001-05-01,UK Job Vacancies (thousands) - Construction,,JP9L,31.0
152495,2001-05-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,131.0
152496,2001-05-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,29.0
152497,2001-05-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,59.0
152498,2001-05-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,50.0
152499,2001-05-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,31.0
152500,2001-05-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,8.0
152501,2001-05-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,55.0
152502,2001-05-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,41.0
152503,2001-05-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,17.0
152504,2001-05-01,UK Job Vacancies (thousands) - Education.,,JP9V,32.0
152505,2001-05-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,79.0
152506,2001-05-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,18.0
152507,2001-05-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,19.0
153887,2001-06-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,2.0
153888,2001-06-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,75.0
153889,2001-06-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,2.0
153890,2001-06-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,3.0
153891,2001-06-01,UK Job Vacancies (thousands) - Construction,,JP9L,30.0
153892,2001-06-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,130.0
153893,2001-06-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,29.0
153894,2001-06-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,60.0
153895,2001-06-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,48.0
153896,2001-06-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,30.0
153897,2001-06-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,7.0
153898,2001-06-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,53.0
153899,2001-06-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,40.0
153900,2001-06-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,16.0
153901,2001-06-01,UK Job Vacancies (thousands) - Education.,,JP9V,32.0
153902,2001-06-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,83.0
153903,2001-06-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,17.0
153904,2001-06-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,19.0
155284,2001-07-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,2.0
155285,2001-07-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,73.0
155286,2001-07-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,3.0
155287,2001-07-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,2.0
155288,2001-07-01,UK Job Vacancies (thousands) - Construction,,JP9L,29.0
155289,2001-07-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,129.0
155290,2001-07-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,30.0
155291,2001-07-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,58.0
155292,2001-07-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,47.0
155293,2001-07-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,28.0
155294,2001-07-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,6.0
155295,2001-07-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,53.0
155296,2001-07-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,39.0
155297,2001-07-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,16.0
155298,2001-07-01,UK Job Vacancies (thousands) - Education.,,JP9V,31.0
155299,2001-07-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,84.0
155300,2001-07-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,16.0
155301,2001-07-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,18.0
156681,2001-08-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
156682,2001-08-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,71.0
156683,2001-08-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,3.0
156684,2001-08-01,"UK Job Vacancies (thousands) - Water Supply, Sewarage, Waste Management etc.",,JP9K,3.0
156685,2001-08-01,UK Job Vacancies (thousands) - Construction,,JP9L,31.0
156686,2001-08-01,"UK Job Vacancies (thousands) - Wholesale & Retail, Repair of motor vehicles.",,JP9M,122.0
156687,2001-08-01,UK Job Vacancies (thousands) - Transport & Storage,,JP9N,30.0
156688,2001-08-01,UK Job Vacancies (thousands) - Accommodation & Food Services Activities.,,JP9O,63.0
156689,2001-08-01,UK Job Vacancies (thousands) - Information & Communication.,,JP9P,46.0
156690,2001-08-01,UK Job Vacancies (thousands) - Financial & Insurance Activities.,,JP9Q,29.0
156691,2001-08-01,UK Job Vacancies (thousands) - Real Estate Activities.,,JP9R,6.0
156692,2001-08-01,"UK Job Vacancies (thousands) - Professional, Scientific & Technical Activities.",,JP9S,53.0
156693,2001-08-01,UK Job Vacancies (thousands) - Administrative & Support Service Activities.,,JP9T,39.0
156694,2001-08-01,UK Job Vacancies (thousands) - Public Administration & Defence.,,JP9U,16.0
156695,2001-08-01,UK Job Vacancies (thousands) - Education.,,JP9V,32.0
156696,2001-08-01,UK Job Vacancies (thousands) - Human Health & Social Work.,,JP9W,86.0
156697,2001-08-01,"UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.",,JP9X,16.0
156698,2001-08-01,UK Job Vacancies (thousands) - Other Service Activities.,,JP9Y,17.0
158078,2001-09-01,UK Job Vacancies (thousands) - Mining & Quarrying,,JP9H,1.0
158079,2001-09-01,UK Job Vacancies (thousands) - Manufacturing,,JP9I,68.0
158080,2001-09-01,"UK Job Vacancies (thousands) - Electricity, Gas, Steam & Air Con Supply",,JP9J,3.0
