sector,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
accommodation_food_services_activities,NA,1.694915254237288,-3.3333333333333335,8.620689655172415,-6.349206349206349,0,-10.16949152542373,1.8867924528301887,3.7037037037037033,0,0,-1.7857142857142856,0,-3.6363636363636362,3.7735849056603774,-3.6363636363636362,3.7735849056603774,-3.6363636363636362,1.8867924528301887,-1.8518518518518516,-1.8867924528301887,-3.8461538461538463,6,7.547169811320755,1.7543859649122806,6.896551724137931,-9.67741935483871,-1.7857142857142856,-1.8181818181818181,1.8518518518518516,-1.8181818181818181,1.8518518518518516,3.6363636363636362,1.7543859649122806,0,-1.7241379310344827,-7.017543859649122,7.547169811320755,-1.7543859649122806,3.571428571428571,-3.4482758620689653,1.7857142857142856,0,0,-1.7543859649122806,-7.142857142857142,3.8461538461538463,0,1.8518518518518516,-1.8181818181818181,0,1.8518518518518516,1.8181818181818181,0,0,-5.357142857142857,-1.8867924528301887,-5.769230769230769,0,-4.081632653061225,-2.127659574468085,0,6.521739130434782,4.081632653061225,3.9215686274509802,0,-1.8867924528301887,5.769230769230769,-1.8181818181818181,3.7037037037037033,-3.571428571428571,3.7037037037037033,-1.7857142857142856,-1.8181818181818181,1.8518518518518516,0,1.8181818181818181,3.571428571428571,1.7241379310344827,6.779661016949152,3.1746031746031744,6.153846153846154,-4.3478260869565215,-3.0303030303030303,-3.125,0,-3.225806451612903,-3.3333333333333335,-6.896551724137931,-5.555555555555555,-5.88235294117647,-8.333333333333332,-4.545454545454546,2.380952380952381,4.651162790697675,-2.2222222222222223,-9.090909090909092,2.5,0,0,-2.4390243902439024,2.5,7.317073170731707,-4.545454545454546,4.761904761904762,2.272727272727273,2.2222222222222223,4.3478260869565215,-2.083333333333333,0,-4.25531914893617,0,2.2222222222222223,-6.521739130434782,0,2.3255813953488373,9.090909090909092,-2.083333333333333,-2.127659574468085,-2.1739130434782608,0,-2.2222222222222223,2.272727272727273,-4.444444444444445,0,0,2.3255813953488373,9.090909090909092,-2.083333333333333,-2.127659574468085,0,2.1739130434782608,0,0,4.25531914893617,4.081632653061225,3.9215686274509802,0,0,-3.7735849056603774,-1.9607843137254901,-4,4.166666666666666,4,5.769230769230769,3.6363636363636362,-1.7543859649122806,5.357142857142857,0,8.47457627118644,-1.5625,1.5873015873015872,-1.5625,-1.5873015873015872,8.064516129032258,4.477611940298507,4.285714285714286,2.73972602739726,1.3333333333333335,0,1.3157894736842104,1.2987012987012987,-1.282051282051282,1.2987012987012987,0,0,2.564102564102564,0,0,-1.25,3.79746835443038,2.4390243902439024,1.1904761904761905,0,-2.3529411764705883,-1.2048192771084338,-2.4390243902439024,3.75,2.4096385542168677,2.3529411764705883,-6.896551724137931,-2.4691358024691357,-2.5316455696202533,0,2.5974025974025974,3.79746835443038,2.4390243902439024,4.761904761904762,4.545454545454546,1.0869565217391304,-2.1505376344086025,0,0,3.296703296703297,-2.127659574468085,-1.0869565217391304,-2.197802197802198,3.3707865168539324,2.1739130434782608,1.0638297872340425,-1.0526315789473684,-4.25531914893617,-2.2222222222222223,-1.1363636363636365,4.597701149425287,2.197802197802198,-1.0752688172043012,-1.0869565217391304,2.197802197802198,-1.0752688172043012,1.0869565217391304,-2.1505376344086025,-2.197802197802198,3.3707865168539324,3.260869565217391,1.0526315789473684,-4.166666666666666,0,2.1739130434782608,2.127659574468085,-4.166666666666666,-3.260869565217391,-1.1235955056179776,1.1363636363636365,4.49438202247191,-7.526881720430108,-36.04651162790697,-54.54545454545454,-68,100,56.25,36,-5.88235294117647,3.125,-12.121212121212121,-20.689655172413794,-13.043478260869565,40,57.14285714285714,70.45454545454545,45.33333333333333,18.34862385321101,13.178294573643413,0.684931506849315,10.204081632653061,3.7037037037037033,2.976190476190476,-1.1560693641618496,-2.3391812865497075,-1.1976047904191618,4.848484848484849,0.5780346820809248,1.1494252873563218,-2.272727272727273,-2.9069767441860463,-6.58682634730539,-6.41025641025641,-2.73972602739726,2.8169014084507045,0,-1.36986301369863,-0.6944444444444444,-5.594405594405594,-2.2222222222222223,-3.0303030303030303,-3.125,-4.032258064516129,-0.8403361344537815,-4.23728813559322,0.8849557522123894,-4.385964912280701,-1.834862385321101,1.8691588785046727,-0.9174311926605505,-0.9259259259259258
administrative_support_service_activities,NA,-2.4390243902439024,-2.5,0,-2.564102564102564,-5.263157894736842,-5.555555555555555,-5.88235294117647,0,0,0,3.125,0,-3.0303030303030303,0,-6.25,3.3333333333333335,-3.225806451612903,3.3333333333333335,0,-3.225806451612903,0,-3.3333333333333335,0,-3.4482758620689653,-3.571428571428571,3.7037037037037033,3.571428571428571,3.4482758620689653,-3.3333333333333335,6.896551724137931,0,3.225806451612903,3.125,3.0303030303030303,-2.941176470588235,3.0303030303030303,5.88235294117647,2.7777777777777777,0,2.7027027027027026,2.631578947368421,0,0,-2.564102564102564,-2.631578947368421,0,2.7027027027027026,0,0,-5.263157894736842,2.7777777777777777,-2.7027027027027026,2.7777777777777777,0,2.7027027027027026,0,2.631578947368421,-2.564102564102564,0,5.263157894736842,2.5,2.4390243902439024,0,0,0,0,2.380952380952381,-2.3255813953488373,0,2.380952380952381,0,2.3255813953488373,4.545454545454546,0,-2.1739130434782608,-4.444444444444445,2.3255813953488373,0,-2.272727272727273,2.3255813953488373,0,-2.272727272727273,-6.976744186046512,-7.5,0,-8.108108108108109,14.705882352941178,-7.6923076923076925,0,-11.11111111111111,-6.25,-3.3333333333333335,-17.24137931034483,0,-4.166666666666666,-4.3478260869565215,-9.090909090909092,5,0,14.285714285714285,8.333333333333332,7.6923076923076925,7.142857142857142,-3.3333333333333335,-3.4482758620689653,0,10.714285714285714,3.225806451612903,-3.125,0,3.225806451612903,-3.125,0,-6.451612903225806,-3.4482758620689653,3.571428571428571,10.344827586206897,0,0,-3.125,12.903225806451612,-2.857142857142857,2.941176470588235,-8.571428571428571,9.375,0,-5.714285714285714,-3.0303030303030303,-3.125,0,0,3.225806451612903,3.125,3.0303030303030303,-2.941176470588235,-3.0303030303030303,3.125,6.0606060606060606,2.857142857142857,5.555555555555555,-2.631578947368421,5.405405405405405,0,-2.564102564102564,-5.263157894736842,2.7777777777777777,0,2.7027027027027026,-5.263157894736842,2.7777777777777777,5.405405405405405,7.6923076923076925,7.142857142857142,0,4.444444444444445,2.127659574468085,0,-2.083333333333333,-4.25531914893617,6.666666666666667,2.083333333333333,4.081632653061225,1.9607843137254901,1.9230769230769231,-1.8867924528301887,-1.9230769230769231,0,1.9607843137254901,0,-1.9230769230769231,3.9215686274509802,0,0,-3.7735849056603774,0,-1.9607843137254901,-4,0,0,2.083333333333333,2.0408163265306123,4,1.9230769230769231,3.7735849056603774,1.8181818181818181,-1.7857142857142856,-5.454545454545454,-3.8461538461538463,12,1.7857142857142856,-1.7543859649122806,-3.571428571428571,1.8518518518518516,-3.6363636363636362,-3.7735849056603774,-3.9215686274509802,6.122448979591836,3.8461538461538463,0,0,1.8518518518518516,0,0,1.8181818181818181,1.7857142857142856,-3.508771929824561,0,1.8181818181818181,-3.571428571428571,-3.7037037037037033,1.9230769230769231,-3.7735849056603774,0,3.9215686274509802,-5.660377358490567,-2,-2.0408163265306123,4.166666666666666,4,1.9230769230769231,-1.8867924528301887,11.538461538461538,-6.896551724137931,1.8518518518518516,-5.454545454545454,-13.461538461538462,-15.555555555555555,-23.684210526315788,6.896551724137931,-12.903225806451612,25.925925925925924,0,8.823529411764707,-2.7027027027027026,13.88888888888889,7.317073170731707,6.8181818181818175,6.382978723404255,12,14.285714285714285,10.9375,9.859154929577464,6.41025641025641,4.819277108433735,3.4482758620689653,1.1111111111111112,0,-4.395604395604396,-3.4482758620689653,-1.1904761904761905,-2.4096385542168677,-1.2345679012345678,-2.5,0,-3.8461538461538463,4,-8.974358974358974,-2.8169014084507045,-2.898550724637681,5.970149253731343,2.8169014084507045,-2.73972602739726,-5.633802816901409,-4.477611940298507,-3.125,-6.451612903225806,-5.172413793103448,3.6363636363636362,5.263157894736842,5,1.5873015873015872,3.125,1.5151515151515151,-5.970149253731343
arts_entertainment_recreation,NA,-5.555555555555555,-5.88235294117647,0,-6.25,-6.666666666666667,0,-7.142857142857142,15.384615384615385,-6.666666666666667,14.285714285714285,-12.5,0,0,7.142857142857142,-6.666666666666667,-7.142857142857142,-7.6923076923076925,8.333333333333332,7.6923076923076925,0,0,-7.142857142857142,0,-7.6923076923076925,0,0,0,16.666666666666664,7.142857142857142,0,-6.666666666666667,-7.142857142857142,0,7.6923076923076925,7.142857142857142,0,0,-6.666666666666667,0,0,0,0,0,-7.142857142857142,-7.6923076923076925,-8.333333333333332,0,9.090909090909092,8.333333333333332,7.6923076923076925,-14.285714285714285,0,-8.333333333333332,18.181818181818183,7.6923076923076925,-7.142857142857142,0,0,-7.6923076923076925,0,8.333333333333332,0,-7.6923076923076925,0,0,-8.333333333333332,-9.090909090909092,0,10,9.090909090909092,8.333333333333332,7.6923076923076925,-7.142857142857142,-7.6923076923076925,8.333333333333332,0,7.6923076923076925,-14.285714285714285,0,8.333333333333332,15.384615384615385,-6.666666666666667,-7.142857142857142,-23.076923076923077,-20,25,0,20,0,-8.333333333333332,0,-18.181818181818183,11.11111111111111,0,20,-8.333333333333332,0,-9.090909090909092,-10,0,22.22222222222222,27.27272727272727,14.285714285714285,-12.5,-21.428571428571427,-9.090909090909092,0,10,0,0,0,-9.090909090909092,0,-10,0,0,0,0,0,0,22.22222222222222,18.181818181818183,7.6923076923076925,-7.142857142857142,-7.6923076923076925,0,-16.666666666666664,-10,-11.11111111111111,12.5,22.22222222222222,9.090909090909092,-8.333333333333332,-9.090909090909092,0,20,8.333333333333332,7.6923076923076925,-7.142857142857142,0,0,7.6923076923076925,-14.285714285714285,0,0,0,0,-8.333333333333332,0,-9.090909090909092,10,18.181818181818183,7.6923076923076925,7.142857142857142,0,0,6.666666666666667,0,-12.5,0,-7.142857142857142,7.6923076923076925,0,14.285714285714285,6.25,0,-5.88235294117647,0,0,0,-12.5,0,0,14.285714285714285,6.25,5.88235294117647,0,0,-5.555555555555555,-5.88235294117647,12.5,22.22222222222222,9.090909090909092,-8.333333333333332,-9.090909090909092,-10,-5.555555555555555,0,-11.76470588235294,13.333333333333334,0,5.88235294117647,-11.11111111111111,-12.5,21.428571428571427,5.88235294117647,16.666666666666664,-4.761904761904762,5,0,0,4.761904761904762,4.545454545454546,0,-8.695652173913043,-14.285714285714285,-5.555555555555555,11.76470588235294,21.052631578947366,0,0,-4.3478260869565215,4.545454545454546,-4.3478260869565215,0,-9.090909090909092,15,0,-17.391304347826086,-15.789473684210526,0,12.5,22.22222222222222,4.545454545454546,0,-34.78260869565217,-33.33333333333333,-80,50,33.33333333333333,0,75,42.857142857142854,10,-9.090909090909092,-20,-25,50,122.22222222222223,25,24,-3.225806451612903,3.3333333333333335,6.451612903225806,0,-3.0303030303030303,-12.5,10.714285714285714,12.903225806451612,11.428571428571429,-10.256410256410255,-2.857142857142857,-5.88235294117647,3.125,-6.0606060606060606,-9.67741935483871,-7.142857142857142,-7.6923076923076925,8.333333333333332,7.6923076923076925,3.571428571428571,-6.896551724137931,-7.4074074074074066,-4,8.333333333333332,0,0,-19.230769230769234,-9.523809523809524,-10.526315789473683,5.88235294117647,-11.11111111111111,-12.5,28.57142857142857
construction,NA,-3.225806451612903,-3.3333333333333335,6.896551724137931,-6.451612903225806,-3.4482758620689653,-10.714285714285714,-12,13.636363636363635,4,0,-3.8461538461538463,12,-3.571428571428571,7.4074074074074066,-17.24137931034483,-4.166666666666666,8.695652173913043,4,7.6923076923076925,3.571428571428571,-6.896551724137931,-3.7037037037037033,7.6923076923076925,0,3.571428571428571,0,0,-3.4482758620689653,3.571428571428571,0,-3.4482758620689653,-7.142857142857142,3.8461538461538463,-3.7037037037037033,0,-7.6923076923076925,8.333333333333332,0,3.8461538461538463,-3.7037037037037033,0,-3.8461538461538463,-4,0,8.333333333333332,0,3.8461538461538463,-3.7037037037037033,-15.384615384615385,0,0,4.545454545454546,8.695652173913043,0,8,-3.7037037037037033,-11.538461538461538,0,-4.3478260869565215,0,0,9.090909090909092,0,4.166666666666666,-4,0,-4.166666666666666,4.3478260869565215,4.166666666666666,-4,-4.166666666666666,0,17.391304347826086,3.7037037037037033,7.142857142857142,0,0,-3.3333333333333335,-6.896551724137931,3.7037037037037033,0,3.571428571428571,-3.4482758620689653,-3.571428571428571,-3.7037037037037033,-3.8461538461538463,0,-12,-18.181818181818183,-11.11111111111111,0,-6.25,-6.666666666666667,-7.142857142857142,-7.6923076923076925,0,0,-8.333333333333332,0,-9.090909090909092,-10,0,0,0,0,0,11.11111111111111,0,10,-9.090909090909092,0,10,9.090909090909092,8.333333333333332,0,-7.6923076923076925,8.333333333333332,-7.6923076923076925,-8.333333333333332,-9.090909090909092,0,0,10,-9.090909090909092,0,-10,22.22222222222222,0,9.090909090909092,8.333333333333332,7.6923076923076925,0,0,-7.142857142857142,7.6923076923076925,7.142857142857142,0,-13.333333333333334,0,-7.6923076923076925,0,8.333333333333332,7.6923076923076925,7.142857142857142,0,-6.666666666666667,0,0,7.142857142857142,6.666666666666667,12.5,0,5.555555555555555,10.526315789473683,-4.761904761904762,-5,0,15.789473684210526,4.545454545454546,0,-4.3478260869565215,0,13.636363636363635,8,0,-3.7037037037037033,-3.8461538461538463,4,3.8461538461538463,-7.4074074074074066,-4,-4.166666666666666,0,-4.3478260869565215,-4.545454545454546,0,0,4.761904761904762,4.545454545454546,-4.3478260869565215,-4.545454545454546,0,0,19.047619047619047,8,7.4074074074074066,-3.4482758620689653,3.571428571428571,-3.4482758620689653,-3.571428571428571,0,0,3.7037037037037033,7.142857142857142,0,3.3333333333333335,-9.67741935483871,-7.142857142857142,-7.6923076923076925,-8.333333333333332,0,4.545454545454546,0,13.043478260869565,3.8461538461538463,7.4074074074074066,-10.344827586206897,3.8461538461538463,0,0,3.7037037037037033,0,0,-3.571428571428571,0,-3.7037037037037033,0,-3.8461538461538463,0,-4,8.333333333333332,0,3.8461538461538463,3.7037037037037033,-3.571428571428571,-22.22222222222222,-42.857142857142854,-41.66666666666667,71.42857142857143,50,16.666666666666664,19.047619047619047,0,12,7.142857142857142,-3.3333333333333335,3.4482758620689653,-6.666666666666667,14.285714285714285,-6.25,20,5.555555555555555,13.157894736842104,4.651162790697675,-8.88888888888889,-2.4390243902439024,-5,26.31578947368421,-2.083333333333333,4.25531914893617,-2.0408163265306123,-4.166666666666666,-2.1739130434782608,2.2222222222222223,2.1739130434782608,2.127659574468085,-4.166666666666666,-6.521739130434782,-2.3255813953488373,-4.761904761904762,2.5,0,-4.878048780487805,2.564102564102564,2.5,-9.75609756097561,-8.108108108108109,-2.941176470588235,9.090909090909092,2.7777777777777777,-5.405405405405405,2.857142857142857,2.7777777777777777,-2.7027027027027026
education,NA,0,-3.125,3.225806451612903,0,0,3.125,0,0,6.0606060606060606,-5.714285714285714,0,-6.0606060606060606,6.451612903225806,0,6.0606060606060606,0,2.857142857142857,2.7777777777777777,0,2.7027027027027026,2.631578947368421,0,0,2.564102564102564,-2.5,0,0,2.564102564102564,-2.5,0,0,-2.564102564102564,0,0,0,0,2.631578947368421,2.564102564102564,0,0,0,2.5,2.4390243902439024,2.380952380952381,-2.3255813953488373,2.380952380952381,0,0,-2.3255813953488373,0,-2.380952380952381,2.4390243902439024,-2.380952380952381,4.878048780487805,0,2.3255813953488373,-2.272727272727273,-2.3255813953488373,-2.380952380952381,4.878048780487805,2.3255813953488373,2.272727272727273,0,0,-2.2222222222222223,-2.272727272727273,0,2.3255813953488373,6.8181818181818175,2.127659574468085,2.083333333333333,2.0408163265306123,-2,2.0408163265306123,-2,4.081632653061225,0,0,-1.9607843137254901,0,-4,0,2.083333333333333,0,2.0408163265306123,-2,4.081632653061225,-1.9607843137254901,4,0,0,-3.8461538461538463,0,0,0,-2,2.0408163265306123,0,4,-1.9230769230769231,0,0,3.9215686274509802,3.7735849056603774,-1.8181818181818181,0,-5.555555555555555,-3.9215686274509802,-16.3265306122449,-14.634146341463413,-20,0,3.571428571428571,3.4482758620689653,-6.666666666666667,-3.571428571428571,3.7037037037037033,0,3.571428571428571,0,3.4482758620689653,0,0,3.3333333333333335,0,0,6.451612903225806,0,3.0303030303030303,-2.941176470588235,6.0606060606060606,0,5.714285714285714,-2.7027027027027026,0,0,2.7777777777777777,0,0,8.108108108108109,0,0,-2.5,2.564102564102564,2.5,-4.878048780487805,0,-2.564102564102564,5.263157894736842,0,2.5,4.878048780487805,6.976744186046512,6.521739130434782,2.0408163265306123,0,-2,6.122448979591836,-1.9230769230769231,1.9607843137254901,0,1.9230769230769231,-3.7735849056603774,-1.9607843137254901,0,4,-1.9230769230769231,1.9607843137254901,-1.9230769230769231,0,-3.9215686274509802,0,0,0,6.122448979591836,-1.9230769230769231,-1.9607843137254901,0,-2,0,-6.122448979591836,2.1739130434782608,4.25531914893617,2.0408163265306123,-4,0,0,4.166666666666666,4,1.9230769230769231,-3.7735849056603774,-5.88235294117647,0,4.166666666666666,4,3.8461538461538463,-1.8518518518518516,-5.660377358490567,0,-2,-4.081632653061225,-2.127659574468085,4.3478260869565215,-2.083333333333333,4.25531914893617,2.0408163265306123,2,1.9607843137254901,-1.9230769230769231,0,-3.9215686274509802,0,2.0408163265306123,2,0,0,1.9607843137254901,-1.9230769230769231,-1.9607843137254901,0,4,-1.9230769230769231,3.9215686274509802,-3.7735849056603774,-1.9607843137254901,-16,-23.809523809523807,-31.25,9.090909090909092,20.833333333333336,17.24137931034483,14.705882352941178,0,5.128205128205128,7.317073170731707,-4.545454545454546,-4.761904761904762,7.5,6.976744186046512,8.695652173913043,6,7.547169811320755,7.017543859649122,1.639344262295082,1.6129032258064515,4.761904761904762,7.575757575757576,4.225352112676056,-1.3513513513513513,0,-1.36986301369863,1.3888888888888888,-2.73972602739726,4.225352112676056,1.3513513513513513,8,-7.4074074074074066,2.666666666666667,-5.194805194805195,1.36986301369863,-1.3513513513513513,-1.36986301369863,-2.7777777777777777,-2.857142857142857,-1.4705882352941175,0,-2.9850746268656714,1.5384615384615385,-1.5151515151515151,-1.5384615384615385,-3.125,-1.6129032258064515,-1.639344262295082,0
electricity_gas_steam_air_con_supply,NA,0,50,0,0,-33.33333333333333,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,-33.33333333333333,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,-33.33333333333333,50,0,0,-33.33333333333333,0,0,50,0,0,0,-33.33333333333333,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333333333,-25,0,0,0,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,0,33.33333333333333,0,0,-25,0,0,0,0,0,0,33.33333333333333,0,0,-25,0,0,0,0,0,0,0,0,0,-33.33333333333333,0,0,50,0,0,33.33333333333333,-25,33.33333333333333,0,25,20,0,0,0,0,0,0,0,0,-16.666666666666664,0,0,0,0,20,0,0,0,0,0,-16.666666666666664,0,0,20,0,0,0,16.666666666666664,-14.285714285714285,0,-16.666666666666664,0,0,0,0,0,0
financial_insurance_activities,NA,-3.225806451612903,-6.666666666666667,3.571428571428571,0,3.4482758620689653,-3.3333333333333335,-3.4482758620689653,-7.142857142857142,-3.8461538461538463,0,0,-4,0,4.166666666666666,0,-4,-4.166666666666666,0,8.695652173913043,-8,4.3478260869565215,0,4.166666666666666,-4,4.166666666666666,4,0,3.8461538461538463,7.4074074074074066,0,3.4482758620689653,6.666666666666667,0,6.25,-2.941176470588235,0,0,-3.0303030303030303,3.125,3.0303030303030303,-2.941176470588235,0,0,3.0303030303030303,0,0,0,2.941176470588235,5.714285714285714,-2.7027027027027026,-2.7777777777777777,0,-2.857142857142857,2.941176470588235,2.857142857142857,0,5.555555555555555,0,2.631578947368421,0,-2.564102564102564,0,-2.631578947368421,10.81081081081081,-2.4390243902439024,2.5,0,0,2.4390243902439024,-2.380952380952381,2.4390243902439024,2.380952380952381,2.3255813953488373,4.545454545454546,0,-2.1739130434782608,-4.444444444444445,-2.3255813953488373,-4.761904761904762,-2.5,-5.128205128205128,2.7027027027027026,0,-2.631578947368421,0,-2.7027027027027026,0,0,-8.333333333333332,-12.121212121212121,-10.344827586206897,-3.8461538461538463,-8,-4.3478260869565215,-9.090909090909092,5,4.761904761904762,9.090909090909092,-4.166666666666666,-4.3478260869565215,0,4.545454545454546,13.043478260869565,3.8461538461538463,3.7037037037037033,3.571428571428571,6.896551724137931,0,0,-6.451612903225806,-3.4482758620689653,3.571428571428571,3.4482758620689653,3.3333333333333335,3.225806451612903,-3.125,0,-6.451612903225806,-3.4482758620689653,0,-3.571428571428571,-7.4074074074074066,0,0,-4,-4.166666666666666,-8.695652173913043,4.761904761904762,-4.545454545454546,0,4.761904761904762,4.545454545454546,0,0,0,0,4.3478260869565215,16.666666666666664,0,-3.571428571428571,0,0,0,0,3.7037037037037033,3.571428571428571,3.4482758620689653,6.666666666666667,0,0,0,3.125,3.0303030303030303,2.941176470588235,5.714285714285714,0,0,-2.7027027027027026,0,0,2.7777777777777777,2.7027027027027026,0,0,2.631578947368421,-2.564102564102564,-5.263157894736842,-5.555555555555555,2.941176470588235,0,0,-8.571428571428571,-6.25,0,3.3333333333333335,0,-3.225806451612903,0,-3.3333333333333335,6.896551724137931,-3.225806451612903,-3.3333333333333335,6.896551724137931,0,0,0,0,3.225806451612903,3.125,3.0303030303030303,5.88235294117647,0,2.7777777777777777,0,8.108108108108109,0,0,-2.5,0,0,2.564102564102564,-2.5,0,-2.564102564102564,2.631578947368421,0,-2.564102564102564,0,0,0,-2.631578947368421,-2.7027027027027026,-5.555555555555555,0,-2.941176470588235,3.0303030303030303,0,0,-5.88235294117647,0,0,0,-3.125,-3.225806451612903,-3.3333333333333335,-13.793103448275861,-16,-19.047619047619047,-5.88235294117647,6.25,11.76470588235294,0,5.263157894736842,5,4.761904761904762,4.545454545454546,8.695652173913043,8,11.11111111111111,10,9.090909090909092,8.333333333333332,10.256410256410255,6.976744186046512,2.1739130434782608,0,2.127659574468085,2.083333333333333,2.0408163265306123,4,1.9230769230769231,3.7735849056603774,-1.8181818181818181,-1.8518518518518516,-3.7735849056603774,-5.88235294117647,0,2.083333333333333,-2.0408163265306123,-4.166666666666666,-4.3478260869565215,-6.8181818181818175,-4.878048780487805,-2.564102564102564,0,-2.631578947368421,-5.405405405405405,2.857142857142857,0,0,-8.333333333333332,3.0303030303030303,5.88235294117647,-2.7777777777777777
