index,date,E12000001,E12000002,E12000003
1,2004-12-01,68.1,70.6,72.2
2,2005-03-01,68.4,70.6,72.2
3,2005-06-01,68.7,70.8,72.3
4,2005-09-01,68.8,70.8,72.5
5,2005-12-01,69,70.6,72.3
6,2006-03-01,68.7,70.6,71.9
7,2006-06-01,68.9,70.5,72
8,2006-09-01,68.8,70.6,71.6
9,2006-12-01,68.9,70.6,71.9
10,2007-03-01,69.3,70.5,71.8
11,2007-06-01,69.5,70.6,71.4
12,2007-09-01,69.6,70.2,71.5
13,2007-12-01,69.6,70.5,71.3
14,2008-03-01,69.3,70.3,71.7
15,2008-06-01,68.8,70.1,71.3
16,2008-09-01,68.9,70.1,71.5
17,2008-12-01,68.6,69.4,71
18,2009-03-01,68.2,69.2,70.5
19,2009-06-01,67.6,68.9,70.2
20,2009-09-01,67,68.4,69.4
21,2009-12-01,66.3,68.1,68.9
22,2010-03-01,65.8,67.8,68.5
23,2010-06-01,66.2,68.2,68.9
24,2010-09-01,66.6,68.5,68.4
25,2010-12-01,66.2,68.8,68.5
26,2011-03-01,65.9,68.6,68.4
27,2011-06-01,65.8,68.4,67.8
28,2011-09-01,64.9,68.2,67.7
29,2011-12-01,64.9,68.3,67.6
30,2012-03-01,65.1,68.2,67.5
31,2012-06-01,65.2,68.5,67.8
32,2012-09-01,65.7,68.5,68.5
33,2012-12-01,66,68.8,68.9
34,2013-03-01,66.3,69.1,69.6
35,2013-06-01,66.4,69.1,69.6
36,2013-09-01,66.1,69.2,69.5
37,2013-12-01,66.3,68.9,69.7
38,2014-03-01,67.1,68.9,69.9
39,2014-06-01,67.6,68.7,70
40,2014-09-01,68,69,70.2
41,2014-12-01,68.4,69.3,70.6
42,2015-03-01,68.6,69.8,71
43,2015-06-01,68.8,70.1,71.7
44,2015-09-01,69,70.6,72.4
45,2015-12-01,69.3,71.2,72.5
46,2016-03-01,69.5,71.4,72.2
47,2016-06-01,69.4,71.6,72.2
48,2016-09-01,69.9,71.6,72.4
49,2016-12-01,70.5,71.5,72.5
50,2017-03-01,69.9,71.7,72.8
51,2017-06-01,70.2,72.3,73
52,2017-09-01,70.4,72.6,73
53,2017-12-01,70.6,73,73.4
54,2018-03-01,71.1,73.4,73.5
55,2018-06-01,70.6,73.4,73.5
56,2018-09-01,70.8,73.7,73.4
57,2018-12-01,71.1,73.8,73.6
58,2019-03-01,71.1,73.8,73.7
59,2019-06-01,71.4,73.9,73.8
60,2019-09-01,71.2,74.3,73.8
61,2019-12-01,70.5,74.5,73.7
62,2020-03-01,71.1,74.9,74
63,2020-06-01,71.3,74.8,74.1
64,2020-09-01,71.3,74.1,74.5
65,2020-12-01,71.4,74,74.2
66,2021-03-01,71.2,73.2,73.8
67,2021-06-01,70.6,73.2,73.5
68,2021-09-01,70.5,73.3,73.2
69,2021-12-01,70.2,72.9,73.8
70,2022-03-01,70,73.1,74.3
71,2022-06-01,70.6,73.3,74.7
72,2022-09-01,71.2,73,74.5
73,2022-12-01,70.5,73.5,74.6
74,2023-03-01,70.8,73.6,74.4
75,2023-06-01,71.2,73.8,74.2
76,2023-09-01,71.6,74.4,74.7
77,2023-12-01,72.8,73.8,74.2
