date,Age,Characteristic_grouping,Characteristic,avgcohort,avgNEETNK,avgNEET,avgNK,NEETNKprop,NEETprop,Notknownprop,annual_change_NEETNK,geography_code
2023,16,gender,Female,293520.0,9500,5590,3910,3.2,1.9,1.3,0.4,E92000001
2023,17,gender,Female,291750.0,17880,8970,8900,6.1,3.1,3.1,0.7,E92000001
2023,16,gender,Male,308610.0,12570,7680,4890,4.1,2.5,1.6,0.5,E92000001
2023,17,gender,Male,307470.0,23260,11850,11410,7.6,3.9,3.7,0.4,E92000001
2023,16-17,gender,Female,585260.0,27370,14570,12810,4.7,2.5,2.2,0.6,E92000001
2023,16-17,gender,Male,616080.0,35830,19530,16300,5.8,3.2,2.6,0.5,E92000001
2023,16,gender,Unclassified/withheld,18520.0,520,260,260,2.8,1.4,1.4,0.1,E92000001
2023,17,gender,Unclassified/withheld,16500.0,1160,430,730,7,2.6,4.4,1.2,E92000001
2023,16-17,gender,Unclassified/withheld,35020.0,1680,690,990,4.8,2,2.8,0.9,E92000001
2023,16,Total,Total,620640.0,22580,13530,9050,3.6,2.2,1.5,0.5,E92000001
2023,17,Total,Total,615720.0,42300,21250,21040,6.9,3.5,3.4,0.6,E92000001
2023,16-17,Total,Total,1236360.0,64880,34780,30090,5.2,2.8,2.4,0.5,E92000001
2023,16,gender,Female,14160.0,470,450,30,3.3,3.1,0.2,-0.3,E12000001
2023,17,gender,Female,14010.0,880,770,110,6.3,5.5,0.8,0.3,E12000001
2023,16,gender,Male,14820.0,630,590,40,4.2,4,0.3,0,E12000001
2023,17,gender,Male,14680.0,1040,910,130,7.1,6.2,0.9,-0.6,E12000001
2023,16-17,gender,Female,28170.0,1350,1220,140,4.8,4.3,0.5,0,E12000001
2023,16-17,gender,Male,29500.0,1670,1500,170,5.6,5.1,0.6,-0.3,E12000001
2023,16,gender,Unclassified/withheld,120.0,10,0,0,4.1,2.4,1.6,0.3,E12000001
2023,17,gender,Unclassified/withheld,110.0,10,10,0,5.5,4.6,0.9,-5.3,E12000001
2023,16-17,gender,Unclassified/withheld,230.0,10,10,0,4.7,3.4,1.3,-3,E12000001
2023,16,Total,Total,29100.0,1110,1040,70,3.8,3.6,0.2,-0.1,E12000001
2023,17,Total,Total,28800.0,1920,1680,240,6.7,5.8,0.8,-0.2,E12000001
2023,16-17,Total,Total,57910.0,3030,2720,310,5.2,4.7,0.5,-0.1,E12000001
2023,16,gender,Female,593.0,17,13,4,2.86677908937605,2.19224283305228,0.674536256323777,0.125488398342364,E06000005
2023,17,gender,Female,580.333333333333,28.3333333333333,18.6666666666667,9.66666666666667,4.88225157955198,3.2165422171166,1.66570936243538,-1.00010136162449,E06000005
2023,16,gender,Male,621.0,16,10.6666666666667,5.33333333333333,2.57648953301127,1.71765968867418,0.858829844337091,-0.334561679926738,E06000005
2023,17,gender,Male,617.333333333333,31.3333333333333,19.6666666666667,11.6666666666667,5.0755939524838,3.18574514038877,1.88984881209503,-0.996211749733728,E06000005
2023,16-17,gender,Female,1173.33333333333,45.3333333333333,31.6666666666667,13.6666666666667,3.86363636363636,2.69886363636364,1.16477272727273,-0.432788088497427,E06000005
2023,16-17,gender,Male,1238.33333333333,47.3333333333333,30.3333333333333,17,3.82234185733513,2.44952893674293,1.37281292059219,-0.685526907668872,E06000005
2023,16,gender,Unclassified/withheld,0.0,z,z,z,z,z,z,z,E06000005
2023,17,gender,Unclassified/withheld,1.0,c,c,c,c,c,c,c,E06000005
2023,16-17,gender,Unclassified/withheld,1.0,c,c,c,c,c,c,c,E06000005
2023,16,Total,Total,1214.0,33,23.6666666666667,9.33333333333333,2.71828665568369,1.94947830862164,0.768808347062054,-0.107981008489209,E06000005
2023,17,Total,Total,1198.66666666667,59.6666666666667,38.3333333333333,21.3333333333333,4.97775305895439,3.1979977753059,1.7797552836485,-1.00396945558452,E06000005
2023,16-17,Total,Total,2412.66666666667,92.6666666666667,62,30.6666666666667,3.84084001105278,2.56977065487704,1.27106935617574,-0.563592121911213,E06000005
