date,E12000001,E12000002,E12000003,unix_timestamp
2004-12-01,40.3,41.9,41.6,1101859200
2005-12-01,40.4,42.4,41.3,1133395200
2006-12-01,42.8,43.8,41.5,1164931200
2007-12-01,44.2,43.9,42.1,1196467200
2008-12-01,43,43.3,43.2,1228089600
2009-12-01,42.7,44.8,44.7,1259625600
2010-12-01,45.2,47.4,45.1,1291161600
2011-12-01,46.3,47.9,45.6,1322697600
2012-12-01,47.1,49.8,49,1354320000
2013-12-01,49.3,50,49.4,1385856000
2014-12-01,50.4,50.7,50,1417392000
2015-12-01,52.2,52.2,51.3,1448928000
2016-12-01,52.3,53.7,52.3,1480550400
2017-12-01,52.1,54.2,52.3,1512086400
2018-12-01,51.9,55.1,53.6,1543622400
2019-12-01,52.1,55.2,54.3,1575158400
2020-12-01,55.1,58,57.3,1606780800
2021-12-01,54.6,58.2,58.2,1638316800
