date,new_la_code,la_name,Age,Characteristic_grouping,Characteristic,avgcohort,avgNEETNK,avgNEET,avgNK,NEETNKprop,NEETprop,Notknownprop,annual_change_NEETNK,geography_code
2023,E06000044,Portsmouth,16-17,Total,Total,4262.66666666667,237,168,69,5.55989990616203,3.9411948701908,1.61870503597122,0.475560630440547,E06000044
2023,E06000038,Reading,16-17,Total,Total,3409.66666666667,107.333333333333,95,12.3333333333333,3.14791279694985,2.78619610910157,0.361716687848274,0.627741465143889,E06000038
2023,E06000039,Slough,16-17,Total,Total,4435.0,216.666666666667,117,99.6666666666667,4.88538143555054,2.63810597519729,2.24727546035325,1.63058425313616,E06000039
2023,E06000045,Southampton,16-17,Total,Total,4958.66666666667,363.333333333333,203,160.333333333333,7.32723850497446,4.09384243076096,3.2333960742135,1.34731396592698,E06000045
2023,E10000030,Surrey,16-17,Total,Total,24436.3333333333,3704.66666666667,213.333333333333,3491.33333333333,15.160485070046,0.873016955626185,14.2874681144198,7.25081032382679,E10000030
2023,E06000037,West Berkshire,16-17,Total,Total,3477.33333333333,86,66.3333333333333,19.6666666666667,2.47315950920245,1.90759202453988,0.565567484662577,0.358829047182094,E06000037
2023,E10000032,West Sussex,16-17,Total,Total,16924.6666666667,1603.33333333333,334.666666666667,1268.66666666667,9.47335250324969,1.97739000275732,7.49596250049238,3.48115137848728,E10000032
2023,E06000040,Windsor and Maidenhead,16-17,Total,Total,3105.33333333333,169,34,135,5.44224989265779,1.09489051094891,4.34735938170889,-5.43577778900311,E06000040
2023,E06000041,Wokingham,16-17,Total,Total,3954.33333333333,162.666666666667,77.3333333333333,85.3333333333333,4.11363061620164,1.95566045688274,2.15797015931889,1.34203095837444,E06000041
2023,,,16-17,Total,Total,116790.0,6810,3720,3080,5.8,3.2,2.6,0.6,E12000009
2023,E06000022,Bath and North East Somerset,16-17,Total,Total,3435.33333333333,237.666666666667,50.6666666666667,187,6.91830001940617,1.47486900834465,5.44343101106152,1.13144742976474,E06000022
2023,E06000023,"Bristol, City of",16-17,Total,Total,9007.0,448.333333333333,303.666666666667,144.666666666667,4.97761000703157,3.37145183375893,1.60615817327264,-1.02940439487873,E06000023
2023,E06000052,Cornwall,16-17,Total,Total,12061.0,939.666666666667,533.333333333333,406.333333333333,7.79095155183373,4.42196611668463,3.3689854351491,2.44246800760257,E06000052
2023,E10000008,Devon,16-17,Total,Total,16403.6666666667,1048.33333333333,605.333333333333,443,6.39084757472923,3.69023185873077,2.70061571599846,1.37811217867929,E10000008
2023,E06000059,Dorset,16-17,Total,Total,7384.33333333333,283,234,49,3.83243804450864,3.16887103326863,0.663567011240013,-0.350450140190316,E06000059
2023,E10000013,Gloucestershire,16-17,Total,Total,13339.6666666667,443.333333333333,318.666666666667,124.666666666667,3.32342137484695,2.38886528898773,0.934556085859217,0.074194695909398,E10000013
2023,E06000024,North Somerset,16-17,Total,Total,4761.33333333333,296,136,160,6.21674600952114,2.85634276113134,3.36040324838981,1.08105258406349,E06000024
2023,E06000026,Plymouth,16-17,Total,Total,5641.66666666667,369.666666666667,246,123.666666666667,6.55243722304284,4.36041358936485,2.19202363367799,0.160709581995485,E06000026
2023,E10000027,Somerset,16-17,Total,Total,11864.3333333333,1070.66666666667,433,637.666666666667,9.02424634057259,3.64959402129632,5.37465231927626,1.14155143165959,E10000027
2023,E06000025,South Gloucestershire,16-17,Total,Total,6089.33333333333,412.333333333333,119.333333333333,293,6.77140354718634,1.95971097000219,4.81169257718415,0.738262977791317,E06000025
2023,E06000030,Swindon,16-17,Total,Total,5488.33333333333,342,101,241,6.23139993926511,1.84026723352566,4.39113270573945,-0.309015185836792,E06000030
2023,E06000027,Torbay,16-17,Total,Total,3055.0,224.666666666667,133.333333333333,91.3333333333333,7.35406437534097,4.36442989634479,2.98963447899618,2.01654475210706,E06000027
2023,E06000054,Wiltshire,16-17,Total,Total,10308.6666666667,419,272.666666666667,146.333333333333,4.06454116277566,2.64502360473388,1.41951755804178,-0.192445885622432,E06000054
2023,E06000053,Isles of Scilly,16-17,Total,Total,25.0,0,0,0,0,0,0,-2.17391304347826,E06000053
2023,E06000058,"Bournemouth, Christchurch and Poole",16-17,Total,Total,7923.33333333333,273.333333333333,237.666666666667,35.6666666666667,3.44972654606647,2.99957930164072,0.450147244425747,-0.50634591707504,E06000058
2023,,,16-17,Total,Total,139450.0,7250,3590,3670,5.2,2.6,2.6,0.2,E12000005
2023,E08000025,Birmingham,16-17,Total,Total,32125.3333333333,1922.33333333333,837.666666666667,1084.66666666667,5.98385490163526,2.60749564206857,3.3763592595667,-0.602725572354278,E08000025
2023,E08000026,Coventry,16-17,Total,Total,8076.66666666667,285.666666666667,178,107.666666666667,3.53693768056129,2.20387948823772,1.33305819232357,-0.344176765809152,E08000026
2023,E08000027,Dudley,16-17,Total,Total,7683.66666666667,571,213.666666666667,357.333333333333,7.43134788078608,2.78079042123986,4.65055745954622,-1.16807156768997,E08000027
2023,E08000028,Sandwell,16-17,Total,Total,9404.0,180.666666666667,122.333333333333,58.3333333333333,1.92116829717851,1.30086488019283,0.62030341698568,-0.152179155725294,E08000028
2023,E06000051,Shropshire,16-17,Total,Total,5924.0,468.333333333333,139,329.333333333333,7.90569435066396,2.34638757596219,5.55930677470178,2.0329947843763,E06000051
2023,E08000029,Solihull,16-17,Total,Total,5184.33333333333,253.666666666667,201,52.6666666666667,4.89294669838616,3.87706551790651,1.01588118047965,0.951215764367313,E08000029
2023,E10000028,Staffordshire,16-17,Total,Total,18090.3333333333,912.666666666667,538.333333333333,374.333333333333,5.045051685062,2.97580660021006,2.06924508485195,1.73533748261751,E10000028
2023,E06000021,Stoke-on-Trent,16-17,Total,Total,6222.66666666667,676.666666666667,256.666666666667,420,10.8742232697664,4.12470537818727,6.74951789157917,0.389861243749245,E06000021
2023,E06000020,Telford and Wrekin,16-17,Total,Total,4342.0,136.666666666667,98.3333333333333,38.3333333333333,3.14755105174267,2.26470136649777,0.882849685244895,-1.32007036793354,E06000020
2023,E08000030,Walsall,16-17,Total,Total,7447.33333333333,252.333333333333,129.333333333333,123,3.38823740041178,1.7366395130248,1.65159788738698,0.61202545001719,E08000030
2023,E10000031,Warwickshire,16-17,Total,Total,11977.0,395,204.666666666667,190.333333333333,3.29798780996911,1.7088308146169,1.5891569953522,-0.0777060670068526,E10000031
2023,E08000031,Wolverhampton,16-17,Total,Total,6427.0,202,115.666666666667,86.3333333333333,3.14299050879104,1.79969918572688,1.34329132306416,0.330171785295408,E08000031
2023,E10000034,Worcestershire,16-17,Total,Total,12848.3333333333,836.666666666667,437.333333333333,399.333333333333,6.51186924374108,3.40381372421845,3.10805551952264,0.904932827556112,E10000034
2023,E06000019,"Herefordshire, County of",16-17,Total,Total,3694.66666666667,160.333333333333,117,43.3333333333333,4.33958859617467,3.16672681342476,1.17286178274991,0.0258984960031965,E06000019
2023,,,16-17,Total,Total,124970.0,8100,4120,3980,6.5,3.3,3.2,1.1,E12000003
2023,E08000016,Barnsley,16-17,Total,Total,5428.0,220.333333333333,143,77.3333333333333,4.05919921395235,2.63448784082535,1.424711373127,-1.38323899836677,E08000016
2023,E08000032,Bradford,16-17,Total,Total,14782.0,1006,314,692,6.805574347179,2.12420511432824,4.68136923285076,0.898363210707511,E08000032
2023,E08000033,Calderdale,16-17,Total,Total,5308.0,231.333333333333,203,28.3333333333333,4.35820145692037,3.82441597588546,0.533785481034916,0.713745545161361,E08000033
2023,E08000017,Doncaster,16-17,Total,Total,7191.66666666667,312,239.666666666667,72.3333333333333,4.33835457705678,3.33256083429896,1.00579374275782,-0.459383153004572,E08000017
2023,E06000011,East Riding of Yorkshire,16-17,Total,Total,6985.33333333333,200.333333333333,160.666666666667,39.6666666666667,2.86791372399313,2.30005726283642,0.567856461156709,-0.357275289309582,E06000011
2023,E06000010,"Kingston upon Hull, City of",16-17,Total,Total,6304.66666666667,425,394,31,6.74103838426562,6.2493391138839,0.491699270381728,1.10074429889307,E06000010
2023,E08000034,Kirklees,16-17,Total,Total,11054.3333333333,365.333333333333,274.666666666667,90.6666666666667,3.30488797756536,2.48469680065133,0.820191176914031,0.0315907068498391,E08000034
2023,E08000035,Leeds,16-17,Total,Total,17897.3333333333,1644.33333333333,690.666666666667,953.666666666667,9.18758846755569,3.85904790285331,5.32854056470238,1.40713239164507,E08000035
2023,E06000012,North East Lincolnshire,16-17,Total,Total,3882.33333333333,297.666666666667,279,18.6666666666667,7.66721044045677,7.18639993131278,0.480810509143986,1.35747592718243,E06000012
2023,E06000013,North Lincolnshire,16-17,Total,Total,4183.0,330.666666666667,99.3333333333333,231.333333333333,7.9050123515818,2.37469121045502,5.53032114112678,1.5482112579386,E06000013
2023,E10000023,North Yorkshire,16-17,Total,Total,11761.6666666667,1136.33333333333,226.333333333333,910,9.66132917670398,1.92433045203344,7.73699872467054,4.93660445197926,E10000023
2023,E08000018,Rotherham,16-17,Total,Total,6371.33333333333,458.333333333333,313,145.333333333333,7.19368002511248,4.91262948624045,2.28105053887203,2.28200402338908,E08000018
2023,E08000019,Sheffield,16-17,Total,Total,12332.6666666667,1045.66666666667,552.666666666667,493,8.47883669387534,4.48132331477377,3.99751337910157,1.62978422372527,E08000019
2023,E08000036,Wakefield,16-17,Total,Total,7771.33333333333,273.666666666667,205.333333333333,68.3333333333333,3.52148923393669,2.64218924251523,0.879299991421464,-0.762609583043129,E08000036
2023,E06000014,York,16-17,Total,Total,3715.0,151.666666666667,26.3333333333333,125.333333333333,4.08254822790489,0.708838043965904,3.37371018393899,1.92646235303158,E06000014
