geography.code,CVM Index,GVA Constant Prices £m,GVA Current Prices £m,Implied deflator
E06000001,96.8,1327.0,1473.0,111.0
E06000002,104.3,3136.0,3440.0,109.7
E06000003,99.8,1793.0,2041.0,113.8
E06000004,104.8,5450.0,6061.0,111.2
E06000005,106.1,2646.0,2712.0,102.5
E06000006,98.8,4242.0,4723.0,111.4
E06000007,103.3,8408.0,9273.0,110.3
E06000008,111.6,3508.0,3837.0,109.4
E06000009,100.5,2856.0,3187.0,111.6
E06000010,105.2,6350.0,6930.0,109.1
E06000011,111.0,7916.0,8935.0,112.9
E06000012,112.3,3645.0,4059.0,111.3
E06000013,114.3,5758.0,6794.0,118.0
E06000014,108.0,6931.0,7632.0,110.1
E06000015,101.7,7581.0,8380.0,110.5
E06000016,103.1,9187.0,9996.0,108.8
E06000017,113.0,905.0,1024.0,113.2
E06000018,98.6,10358.0,11477.0,110.8
E06000019,97.4,3944.0,4456.0,113.0
E06000020,120.1,5587.0,6143.0,110.0
E06000021,108.8,6300.0,6845.0,108.6
E06000022,101.1,4556.0,5054.0,110.9
E06000023,110.1,17513.0,19306.0,110.2
E06000024,104.6,4672.0,5246.0,112.3
E06000025,111.3,13324.0,15033.0,112.8
E06000026,106.9,6277.0,6970.0,111.0
E06000027,111.1,2147.0,2404.0,112.0
E06000030,99.2,10089.0,11469.0,113.7
E06000031,102.3,6600.0,7189.0,108.9
E06000032,91.6,5618.0,6649.0,118.4
E06000033,96.9,2985.0,3321.0,111.3
E06000034,116.3,5063.0,5616.0,110.9
E06000035,102.8,6066.0,6715.0,110.7
E06000036,93.4,4934.0,5409.0,109.6
E06000037,113.6,9408.0,9196.0,97.7
E06000038,123.0,10456.0,10708.0,102.4
E06000039,125.4,10867.0,11059.0,101.8
E06000040,101.1,7710.0,8374.0,108.6
E06000041,112.8,9203.0,9943.0,108.0
E06000042,95.8,13282.0,15040.0,113.2
E06000043,114.3,10157.0,11263.0,110.9
E06000044,104.9,6750.0,7509.0,111.2
E06000045,103.9,9199.0,10023.0,109.0
E06000046,105.6,2786.0,3067.0,110.1
E06000047,106.9,9678.0,10654.0,110.1
E06000049,97.9,13947.0,15244.0,109.3
E06000050,102.0,11525.0,13222.0,114.7
E06000051,109.8,6956.0,7856.0,112.9
E06000052,107.9,12320.0,13772.0,111.8
E06000053,100.6,70.0,80.0,113.1
E06000054,105.5,12912.0,14391.0,111.5
E06000055,99.9,4293.0,4763.0,111.0
E06000056,95.8,5763.0,6436.0,111.7
E06000057,104.6,5606.0,6300.0,112.4
E06000058,102.1,11050.0,12346.0,111.7
E06000059,103.1,8452.0,9585.0,113.4
E06000060,101.8,16438.0,18054.0,109.8
E06000061,105.2,7444.0,8202.0,110.2
E06000062,103.3,13059.0,14602.0,111.8
E06000063,92.8,5812.0,6537.0,112.5
E06000064,98.0,6030.0,6726.0,111.5
E06000065,106.7,16210.0,18089.0,111.6
E06000066,102.8,12657.0,14113.0,111.5
E07000008,109.3,7380.0,8126.0,110.1
E07000009,92.6,1873.0,2117.0,113.0
E07000010,105.2,1886.0,2059.0,109.2
E07000011,97.1,4603.0,5100.0,110.8
E07000012,107.5,5860.0,6441.0,109.9
E07000032,104.6,2866.0,3154.0,110.1
E07000033,103.2,2077.0,2321.0,111.8
E07000034,109.7,2638.0,2983.0,113.1
E07000035,103.3,1597.0,1798.0,112.6
E07000036,101.0,1786.0,1952.0,109.3
E07000037,104.1,1539.0,1751.0,113.8
E07000038,105.4,1545.0,1712.0,110.8
E07000039,81.0,2592.0,2816.0,108.6
E07000040,113.8,3272.0,3628.0,110.9
E07000041,105.4,5910.0,6503.0,110.0
E07000042,111.0,1508.0,1671.0,110.8
E07000043,107.0,2447.0,2727.0,111.4
E07000044,114.5,2326.0,2521.0,108.4
E07000045,110.5,2598.0,2887.0,111.1
E07000046,111.2,1060.0,1212.0,114.4
E07000047,108.4,814.0,904.0,111.1
E07000061,102.8,2006.0,2231.0,111.2
E07000062,98.7,1549.0,1711.0,110.5
E07000063,102.2,1946.0,2179.0,112.0
E07000064,106.4,1402.0,1559.0,111.2
E07000065,104.6,2720.0,3007.0,110.6
E07000066,109.7,6662.0,7302.0,109.6
E07000067,105.2,3703.0,4096.0,110.6
E07000068,88.7,2995.0,3239.0,108.1
E07000069,106.1,1085.0,1207.0,111.2
E07000070,110.8,5779.0,6309.0,109.2
E07000071,97.8,4647.0,5141.0,110.6
E07000072,94.4,3832.0,4273.0,111.5
E07000073,101.2,2183.0,2428.0,111.2
E07000074,105.6,1195.0,1318.0,110.2
E07000075,111.4,1444.0,1610.0,111.5
E07000076,103.1,2018.0,2255.0,111.7
E07000077,98.7,2382.0,2703.0,113.5
E07000078,101.5,3529.0,3924.0,111.2
E07000079,95.0,3694.0,4109.0,111.2
E07000080,88.5,1878.0,2049.0,109.1
E07000081,94.6,3074.0,3439.0,111.9
E07000082,101.8,2898.0,3161.0,109.1
E07000083,107.1,3384.0,3761.0,111.1
E07000084,103.9,7435.0,8033.0,108.0
