Local authority,Count,Location quotient
Leeds,138175401,3.13
North Yorkshire,124878852,10.61
Cheshire East,122611520,11.52
Doncaster,119870010,27.75
County Durham,113229823,34.19
Cheshire West and Chester,78261428,10.79
Sheffield,75643580,12.63
Gateshead,69651765,20.04
Manchester,65980971,2.73
East Riding of Yorkshire,64615443,9.34
Westmorland and Furness,56901569,35.35
Liverpool,54069468,6.43
Trafford,53286181,4.21
Rotherham,52008319,28.56
"Kingston upon Hull, City of",51973519,15.52
Wirral,46003780,4.12
Sunderland,43408192,17.65
Stockport,42289266,7.03
Chorley,39775497,30.71
Warrington,36633482,3.22
Wigan,36135448,17.24
Northumberland,35775033,22.19
Cumberland,35600893,14.01
West Lancashire,35520665,19.92
Salford,33786364,3.8
Bolton,33529817,3.62
Kirklees,32613625,11.5
Halton,32100261,7.83
Preston,31361411,10.94
Stockton-on-Tees,28648786,12.99
North Lincolnshire,27905233,11.36
Bradford,27183515,1.67
Sefton,27126432,18.43
Wyre,25350111,38.37
Calderdale,23440147,8.79
St. Helens,22824359,19.93
Newcastle upon Tyne,21998227,2.55
Barnsley,21795385,13.29
Blackburn with Darwen,19180479,1.49
Bury,18430889,4.49
Fylde,18357097,16.24
York,16717193,2.18
Wakefield,16565221,3.73
North Tyneside,15850944,5.48
North East Lincolnshire,13653850,6.69
Pendle,12633940,15.31
Blackpool,11077119,20.63
Oldham,10730991,5.89
Middlesbrough,10728006,7.62
Lancaster,10169421,13.51
Burnley,9080351,7.68
Hyndburn,8386597,10.44
South Ribble,8182780,7.12
Tameside,7789536,5.66
Rossendale,7737695,19.16
South Tyneside,7703199,11.58
Rochdale,7328436,3.79
Knowsley,4885691,3.85
Redcar and Cleveland,4597259,8.5
Ribble Valley,4361187,11.25
Hartlepool,3760965,12.3
Darlington,3009680,2.34
