Year,measured_total,Measured companies,projected_total,Projected companies
2024,,,22993,2203
2023,1159.0,181.0,20690,2203
2022,15479.0,1776.0,18223,2193
2021,15470.0,1779.0,16056,2040
2020,14386.0,1681.0,14639,1844
2019,13896.0,1525.0,14397,1712
2018,14582.0,1286.0,14977,1569
2017,2121.0,205.0,14434,1375
