Year,Measured total (GBP),Measured companies,Projected total (GBP),Projected companies
2024,,,2502146050,2271
2023,16977061.0,14.0,2290974655,2271
2022,451066300.0,183.0,2094959925,2261
2021,509098152.0,211.0,1910573413,2106
2020,636900651.0,218.0,1756837798,1899
2019,946780304.0,207.0,1941341544,1754
2018,876589221.0,216.0,2043863236,1597
2017,86660499.0,26.0,1814549599,1369
