LAD23NM,LAD23CD,Name,Count
Manchester,E08000003,Manchester,29686
Leeds,E08000035,Leeds,21218
Liverpool,E08000012,Liverpool,19438
Sheffield,E08000019,Sheffield,18607
Wakefield,E08000036,Wakefield,18261
Bradford,E08000032,Bradford,15100
Newcastle upon Tyne,E08000021,Newcastle upon Tyne,14228
North Yorkshire,E06000065,North Yorkshire,13265
County Durham,E06000047,County Durham,11313
Sunderland,E08000024,Sunderland,10435
"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",9978
York,E06000014,York,9538
Rotherham,E08000018,Rotherham,9263
Cheshire West and Chester,E06000050,Cheshire West and Chester,9221
Cheshire East,E06000049,Cheshire East,8815
Sefton,E08000014,Sefton,8224
Trafford,E08000009,Trafford,8142
Halton,E06000006,Halton,8076
Bolton,E08000001,Bolton,7782
Kirklees,E08000034,Kirklees,7681
Stockport,E08000007,Stockport,7393
Wirral,E08000015,Wirral,7338
Gateshead,E08000037,Gateshead,6736
Blackburn with Darwen,E06000008,Blackburn with Darwen,6736
Northumberland,E06000057,Northumberland,6593
Cumberland,E06000063,Cumberland,6025
Doncaster,E08000017,Doncaster,5755
Westmorland and Furness,E06000064,Westmorland and Furness,5730
Calderdale,E08000033,Calderdale,5666
Warrington,E06000007,Warrington,5546
Oldham,E08000004,Oldham,5355
Barnsley,E08000016,Barnsley,5287
Middlesbrough,E06000002,Middlesbrough,5108
Salford,E08000006,Salford,4886
Darlington,E06000005,Darlington,4651
Tameside,E08000008,Tameside,4469
North Tyneside,E08000022,North Tyneside,4370
Wigan,E08000010,Wigan,4236
Bury,E08000002,Bury,4127
Stockton-on-Tees,E06000004,Stockton-on-Tees,3977
East Riding of Yorkshire,E06000011,East Riding of Yorkshire,3794
Blackpool,E06000009,Blackpool,3610
North East Lincolnshire,E06000012,North East Lincolnshire,3492
Burnley,E07000117,Burnley,3166
St. Helens,E08000013,St. Helens,3155
Rochdale,E08000005,Rochdale,3126
Redcar and Cleveland,E06000003,Redcar and Cleveland,2855
Preston,E07000123,Preston,2718
Chorley,E07000118,Chorley,2388
Hartlepool,E06000001,Hartlepool,2192
South Tyneside,E08000023,South Tyneside,1865
Lancaster,E07000121,Lancaster,1818
Knowsley,E08000011,Knowsley,1815
North Lincolnshire,E06000013,North Lincolnshire,1637
Fylde,E07000119,Fylde,1616
Rossendale,E07000125,Rossendale,1046
Ribble Valley,E07000124,Ribble Valley,994
Pendle,E07000122,Pendle,981
Hyndburn,E07000120,Hyndburn,867
South Ribble,E07000126,South Ribble,742
West Lancashire,E07000127,West Lancashire,662
Wyre,E07000128,Wyre,343
