LAD23NM,LAD23CD,Name,Count
Manchester,E08000003,Manchester,1901600003
Stockport,E08000007,Stockport,1611477735
Liverpool,E08000012,Liverpool,1464466147
Leeds,E08000035,Leeds,1271957037
Sheffield,E08000019,Sheffield,1061675302
Wakefield,E08000036,Wakefield,993331328
Bradford,E08000032,Bradford,860175076
Newcastle upon Tyne,E08000021,Newcastle upon Tyne,826704849
North Yorkshire,E06000065,North Yorkshire,657771855
County Durham,E06000047,County Durham,645551035
Sunderland,E08000024,Sunderland,632520325
Cheshire West and Chester,E06000050,Cheshire West and Chester,619148858
York,E06000014,York,568090608
Salford,E08000006,Salford,520776856
Cheshire East,E06000049,Cheshire East,488357703
Rotherham,E08000018,Rotherham,484599157
Trafford,E08000009,Trafford,474896459
Bolton,E08000001,Bolton,455242849
"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",435067038
Kirklees,E08000034,Kirklees,403611526
Blackburn with Darwen,E06000008,Blackburn with Darwen,393580933
Calderdale,E08000033,Calderdale,387732097
Wirral,E08000015,Wirral,379422422
Sefton,E08000014,Sefton,355354216
Cumberland,E06000063,Cumberland,353151820
Gateshead,E08000037,Gateshead,344295820
Doncaster,E08000017,Doncaster,341794440
Halton,E06000006,Halton,341176112
Northumberland,E06000057,Northumberland,330553905
Warrington,E06000007,Warrington,314955652
Westmorland and Furness,E06000064,Westmorland and Furness,304267208
Tameside,E08000008,Tameside,288705818
Oldham,E08000004,Oldham,286465639
Barnsley,E08000016,Barnsley,263632757
Bury,E08000002,Bury,258370778
Burnley,E07000117,Burnley,250420029
Middlesbrough,E06000002,Middlesbrough,242368151
Darlington,E06000005,Darlington,238499931
Wigan,E08000010,Wigan,232166350
Stockton-on-Tees,E06000004,Stockton-on-Tees,226956408
Rochdale,E08000005,Rochdale,226190596
East Riding of Yorkshire,E06000011,East Riding of Yorkshire,224209472
North Tyneside,E08000022,North Tyneside,209453649
Blackpool,E06000009,Blackpool,184635539
Redcar and Cleveland,E06000003,Redcar and Cleveland,169294500
South Tyneside,E08000023,South Tyneside,153960285
Preston,E07000123,Preston,142955549
Chorley,E07000118,Chorley,142616991
St. Helens,E08000013,St. Helens,119599212
North East Lincolnshire,E06000012,North East Lincolnshire,118828515
Lancaster,E07000121,Lancaster,102071519
Hartlepool,E06000001,Hartlepool,92673144
Knowsley,E08000011,Knowsley,92618211
Fylde,E07000119,Fylde,73886938
North Lincolnshire,E06000013,North Lincolnshire,73125434
Pendle,E07000122,Pendle,53502965
Ribble Valley,E07000124,Ribble Valley,50907422
South Ribble,E07000126,South Ribble,45620165
Rossendale,E07000125,Rossendale,42154624
Hyndburn,E07000120,Hyndburn,39767268
West Lancashire,E07000127,West Lancashire,30978541
Wyre,E07000128,Wyre,15735819
