SICHLU,Count,sic_name
P,224739,Education
Q,77168,Human health and social work activities
R,30620,"Arts, entertainment and recreation"
S,26359,Other service activities
M,15629,"Professional, scientific and technical activities"
N,8804,Administrative and support service activities
