name,value,footnote,post,pre
"Total companies considered",26804,"In the North",
"Estimated total employees",800013,"From 10943 companies",
"Estimated total turnover",61562345758,,,£
"Estimated growth per year",2.9,,%
"Total investment funding",865000,"From 96 companies",,£
