SICHLU,Count,sic_name
T,5195,Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use
R,3593,"Arts, entertainment and recreation"
S,3547,Other service activities
P,3356,Education
Q,2856,Human health and social work activities
L,1900,Real estate activities
