LAD23NM,LAD23CD,Name,Count
Manchester,E08000003,Manchester,1722
Leeds,E08000035,Leeds,1443
Sheffield,E08000019,Sheffield,1117
Liverpool,E08000012,Liverpool,1071
North Yorkshire,E06000065,North Yorkshire,1015
York,E06000014,York,873
Cheshire East,E06000049,Cheshire East,866
Newcastle upon Tyne,E08000021,Newcastle upon Tyne,829
Cheshire West and Chester,E06000050,Cheshire West and Chester,780
Bradford,E08000032,Bradford,756
Trafford,E08000009,Trafford,599
Cumberland,E06000063,Cumberland,572
Wirral,E08000015,Wirral,548
County Durham,E06000047,County Durham,535
Westmorland and Furness,E06000064,Westmorland and Furness,517
Stockport,E08000007,Stockport,506
Wigan,E08000010,Wigan,504
Salford,E08000006,Salford,490
Northumberland,E06000057,Northumberland,482
Kirklees,E08000034,Kirklees,473
Sefton,E08000014,Sefton,426
Bury,E08000002,Bury,405
Bolton,E08000001,Bolton,387
Wakefield,E08000036,Wakefield,386
Doncaster,E08000017,Doncaster,385
"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",351
Sunderland,E08000024,Sunderland,329
Calderdale,E08000033,Calderdale,310
Gateshead,E08000037,Gateshead,306
East Riding of Yorkshire,E06000011,East Riding of Yorkshire,297
Barnsley,E08000016,Barnsley,294
Oldham,E08000004,Oldham,261
Rotherham,E08000018,Rotherham,252
Lancaster,E07000121,Lancaster,246
Rochdale,E08000005,Rochdale,234
North Tyneside,E08000022,North Tyneside,230
Warrington,E06000007,Warrington,221
Preston,E07000123,Preston,217
North East Lincolnshire,E06000012,North East Lincolnshire,193
Blackburn with Darwen,E06000008,Blackburn with Darwen,190
Darlington,E06000005,Darlington,186
Tameside,E08000008,Tameside,182
Stockton-on-Tees,E06000004,Stockton-on-Tees,182
Fylde,E07000119,Fylde,179
South Tyneside,E08000023,South Tyneside,155
Chorley,E07000118,Chorley,154
Blackpool,E06000009,Blackpool,137
Knowsley,E08000011,Knowsley,137
Ribble Valley,E07000124,Ribble Valley,135
Middlesbrough,E06000002,Middlesbrough,132
North Lincolnshire,E06000013,North Lincolnshire,124
St. Helens,E08000013,St. Helens,117
West Lancashire,E07000127,West Lancashire,114
Redcar and Cleveland,E06000003,Redcar and Cleveland,109
Pendle,E07000122,Pendle,107
Halton,E06000006,Halton,106
South Ribble,E07000126,South Ribble,100
Wyre,E07000128,Wyre,98
Burnley,E07000117,Burnley,92
Hyndburn,E07000120,Hyndburn,82
Rossendale,E07000125,Rossendale,80
Hartlepool,E06000001,Hartlepool,79
