name,value,footnote,post,url
Total members,181,People,,/overview/membership
Total companies,162,Unique companies,,/overview/membership
Membership increase,1.1,Since last month,%,/overview/membership
Companies with 0-9 employees,45.5,Of members work in companies of this size,%,
Top industry,7.1,Of members work in Professional Training & Coaching,%,
Geographic reach,4,placeholder,,
Advisory council,11,Members represent the network on the True North advisory council,,https://www.brabners.com/insights/true-north/true-north-advisory-council-launches
Northern stars,5,Companies have been featured as Northern Stars,,/overview/insights
B Corps,13.4,Of member's organisations are B Corps or are joining,%,/themes/sustainable-growth/b-corporations
