name,value,footnote,post
"Total members",182,"5.81% increase since last month",
"Membership change",5.8,"Since last month","%"
"Companies with 1-10 employees",31,"Of members work in companies of this size","%"
"Top sector","17","Of members work in Finance and Insurance","%"
"Top regions","West Yorkshire and Greater Manchester",,
"B-Corps",13,"Of member's organisations are B-corps or are joining","%"
"True North purpose",96,"Agree that the True North report identified the key challenges and opportunities facing the region","%"
